Genero,Artista,Titulo,Cancion
Pop Rock,Camila,Mientes,"Tú llegaste a mi vida para enseñarme
Tú supiste encenderme y luego apagarme
Tú te hiciste indispensable para mí
Y con los ojos cerrados te seguí
Si yo busqué dolor lo conseguí
no eres la persona que pensé, que creí, que pedí

Mientes
Me haces daño y luego te arrepientes
Ya no tiene caso que lo intentes
No me quedan ganas de sentir
Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí

Que hoy estoy mejor sin ti
Voy de nuevo recordando lo que soy
Sabiendo lo que das y lo que doy
En mí no queda espacio para ti
Y el tiempo hizo lo suyo y comprendí
Las cosas no suceden porque sí
No eres la persona que pensé, que creí, que pedí

Mientes
Me haces daño y luego te arrepientes
Ya no tiene caso que lo intentes
No me quedan ganas de sentir
Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí
Que hoy estoy mejor sin ti
Que hoy estoy mejor sin ti

Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí
Que hoy estoy mejor sin ti
Que hoy estoy mejor sin ti
Que hoy estoy mejor sin ti"
Pop Rock,Camila,Todo Cambió,"Todo cambió cuando te vi
De blanco y negro al color me convertí
Y fue tan fácil quererte tanto
Algo que no imaginaba
Fue entregarte mi amor con una mirada

Todo tembló dentro de mí
El universo escribió que fueras para mí
Y fue tan fácil quererte tanto
Algo que no imaginaba
Fue perderme en tu amor
Simplemente pasó, y todo tuyo ya soy

Antes que pase más tiempo contigo amor
Tengo que decir que eres el amor de mi vida
Antes que te ame más, escucha por favor
Déjame decir que todo te di
Y no hay cómo explicar, pero menos dudas
Simplemente así lo sentí, cuando te vi

Me sorprendió todo de ti
De blanco y negro al color me convertí
Sé que no es fácil decir te amo
Yo tampoco lo esperaba
Pero así es el amor
Simplemente pasó y todo tuyo ya soy

Antes que pase más tiempo contigo amor
Tengo que decir que eres el amor de mi vida
Antes que te ame más, escucha por favor
Déjame decir que todo te di
Y no hay cómo explicar pero menos dudas
Simplemente así lo sentí, cuando te vi
Todo cambió cuando te vi"
Pop Rock,Camila,Aléjate de Mí,"Aléjate de mí y hazlo pronto antes de que te mienta
Tu cielo se hace gris, yo ya camino bajo la tormenta
Aléjate de mí, escapa, vete, ya no debo verte
Entiende que, aunque pida que te vayas
No quiero perderte

La luz ya no alcanza
No quieras caminar sobre el dolor, descalza
Un ángel te cuida
Y puso en mi boca la verdad para mostrarte la salida

¡Y aléjate de mi amor!
Yo sé que aun estas en tiempo
No soy quien en verdad parezco y perdón
No soy quien crees
Yo no caí del cielo

Si aún no me lo crees amor
Y quieres tú correr el riesgo
Verás que soy realmente bueno en engañar
Y hacer sufrir
A quién más quiero

Aléjate de mí pues tu bien sabes que no te merezco
Quisiera arrepentirme, ser el mismo y no decirte esto

Aléjate de mí, escapa, vete, ya no debo verte
Entiende que, aunque pida que te vayas no quiero perderte
La luz ya no alcanza
No quieras caminar sobre el dolor, descalza
Un ángel te cuida
Y puso en mi boca la verdad para mostrarte la salida

¡Y aléjate de mi amor!
Yo sé que aun estas a tiempo
No soy quien en verdad parezco y perdón
No soy quien crees
Yo no caí del cielo

Si aún no me lo crees amor
Y quieres tú correr el riesgo
Verás que soy realmente bueno
En engañar y hacer sufrir y hacer llorar
A quién más quiero

¡Y aléjate de mi amor!
Yo sé que aun estas a tiempo
No soy quien de verdad parezco y perdón
No soy quien crees
Yo no caí del cielo

Si aún no me lo crees amor
Y quieres tú correr el riesgo
Verás que soy realmente bueno en engañar y hacer sufrir
A quién más quiero, a quién más quiero"
Pop Rock,Camila,Solo Para Ti,"Eres todo lo que pedía
Lo que mi alma vacía
Quería sentir

Eres lo que tanto esperaba
Lo que, en sueños, buscaba
Y que, en ti, descubrí

Tú has llegado a encender
Cada parte de mi alma
Cada espacio de mi ser
Ya no tengo corazón
Ni ojos para nadie
Solo para ti

Eres el amor de mi vida
El destino lo sabía
Y hoy te puso ante mí

Y cada vez que miro al pasado
Es que entiendo que a tu lado
Siempre pertenecí

Tú has llegado a encender
Cada parte de mi alma
Cada espacio de mi ser
Ya no tengo corazón
Ni ojos para nadie
Solo para ti

Solo para ti
Solo para ti
Solo para ti

Esto es de verdad
Lo puedo sentir
Sé que mi lugar
Es junto a ti

Ooh
Es junto a ti (ah)

Eres todo lo que pedía
Lo que no conocía
Y que, en ti, descubrí"
Pop Rock,Camila,Coleccionista de Canciones,"Tú, coleccionista de canciones
Dame razones para vivir
Tú, la dueña de mis sueños
Quédate en ellos y hazme sentir
Y así, en tu misterio poder descubrir
El sentimiento eterno

Tú, con la Luna en la cabeza
El lugar en donde empieza
El motivo y la ilusión de mi existir
Tan solo tú, solamente quiero que seas tú
Mi locura, mi tranquilidad y mi delirio, mi compás y mi camino
Solo tú, solamente quiero que seas tú
Yo pongo en tus manos mi destino porque vivo
Para estar siempre, siempre, siempre, siempre
Contigo, amor

Tú, coleccionista de canciones
Mil emociones son para ti
Tú, lo que soñé mi vida entera
Quédate en ella y hazme sentir
Y así, ir transformando la magia de ti
En un respiro del alma

Tú, con la Luna en la cabeza
El lugar en donde empieza
El motivo y la ilusión de mi existir
Tan solo tú, solamente quiero que seas tú
Mi locura, mi tranquilidad y mi delirio, mi compás y mi camino
Solo tú, solamente quiero que seas tú
Yo pongo en tus manos mi destino porque vivo
Para estar siempre contigo

Ya no queda más espacio en mi interior
Has llenado con tu luz cada rincón
Es que por ti que con el tiempo mi alma siente diferente

Solo tú, solamente quiero que seas tú
Mi locura, mi tranquilidad y mi delirio, mi compás y mi camino
Solo tú, solamente quiero que seas tú
Yo pongo en tus manos mi destino porque vivo
Para estar siempre, siempre, siempre, siempre
Contigo, amor"
Pop Rock,Camila,Bésame,"Bésame
A destiempo, sin piedad y en silencio
Bésame
Frena el tiempo, haz crecer lo que siento

Bésame
Como si el mundo se acabara después
Bésame
Y beso a beso pon el cielo al revés
Bésame
Sin razón, porque quiere el corazón
Bésame

Siénteme
En el viento, mientras yo, muero lento
Bésame
Sin motivos, estaré, siempre contigo

Bésame
Como si el mundo se acabara después
Bésame
Y beso a beso pon el cielo al revés
Bésame
Sin razón, porque quiere el corazón
Bésame

Bésame
Como si el mundo se acabara después
Bésame
Y beso a beso pon el cielo al revés
Bésame
Sin razón, porque quiere el corazón
Bésame

Bésame así, sin compasión
Quédate en mí, sin condición
Dame tan solo un motivo
Y me quedo yo"
Pop Rock,Camila,Perdón,"Prometí quererte para siempre
Y era cierto, no había dudas en mi mente
Si el destino tuvo planes diferentes
Y te herí por accidente, perdón

Si me solté de ti, si no te defendí
Fue que mi corazón estaba ciego
Qué estupidez perderte para verlo
Lo siento

No espero amor ni odio
Ya tengo bastante con mi dolor
Maldigo el episodio
Lo peor es que yo fui quien lo escribió

Me esperan los demonios
Que deja tu olvido que juegan conmigo
Ya sé que es cobarde pedirte en una canción
Perdón, perdón

Si pudiera regresar el tiempo
Esta vez no escondería lo que siento
El silencio fue el engaño más violento
Mi terrible experimento falló

Si te alejé de mi, si te fallé y me fui
Fue porque mis mentiras me daban miedo
Tú me creíste y yo me volví tan bueno
Fingiendo

No espero amor ni odio
Ya tengo bastante con mi dolor
Maldigo el episodio
Lo peor es que yo fui quien lo escribió

Me esperan los demonios
Que deja tu olvido que juegan conmigo
Ya sé que es cobarde pedirte en una canción
Perdón, perdón"
Pop Rock,Camila,De Que Me Sirve La Vida,"Estoy a punto de emprender un viaje
Con rumbo hacia lo desconocido
No se si algún día vuelva a verte
No es fácil aceptar haber perdido

Por más que suplique no me abandones
Dijiste no soy yo es el destino
Y entonces entendi que aunque te amaba
Tenía que elegir otro camino

De que me sirve la vida
Si eres lo que yo pido
Los recuerdos no me alcanzan
Pero me mantienen vivo

De que me sirve la vida
Si no la vivo contigo
De que me sirve la esperanza
Si es lo último que muere
Y sin ti ya la he perdido

Escucha bien amor lo que te digo
Pues creo no habrá otra ocasión
Para decirte que no me arrepiento
De haberte entregado el corazón

Por más que suplique no me abandones
Dijiste no soy yo es el destino
Y entonces entendi que aunque te amaba
Tenía que elegir otro camino

De que me sirve la vida
Si eres lo que yo pido
Los recuerdos no me alcanzan
Pero me mantienen vivo

De que me sirve la vida
Si no la vivo contigo
De que me sirve la esperanza
Si es lo último que muere
Y sin ti ya la he perdido

De que me sirve la vida
Si eres lo que yo pido
Los recuerdos no me alcanzan
Pero me mantienen vivo

De que me sirve la vida
De que me sirve la esperanza
Si es lo último que muere
Y sin ti ya la he perdido"
Pop Rock,Camila,Abrázame,"(Un, dos, tres)

Tienes que saber
Que es lo último que pido
Que estoy desesperado y según mis latidos
No me queda mucho tiempo a mi favor

Y antes de perder de vista mi camino
Quiero mirarte un poco
Y soñar que el destino
Es junto a ti, mi amor

Quédate un segundo aquí
A hacerme compañía
Y quédate tantito más
Quiero sentirte mía

Y abrázame
Y abrázame
Y abrázame
Y abrázame

Hoy me he dado cuenta
Que no había sentido
Tanto miedo antes que yo no decido
Que Dios va a ser mejor

Y antes de perder de vista mi camino
Quiero mirarte un poco
Y soñar que el destino
Es junto a ti, mi amor

Quédate un segundo aquí
A hacerme compañía
Y quédate tantito más
Quiero sentirte mía

Y abrázame
Y abrázame
Y abrázame
Y abrázame

(No, no) y abrázame

Dame una razón para quedarme
Yo no quiero tu compasión
Quiero que estés conmigo
Hasta que me haya ido

Y abrázame
Y abrázame
Y abrázame
Y abrázame

Y abrázame (dame una razón para quedarme)
(Solo dame una razón)
Y abrázame (dame una razón, solo dame)
(Dame solo una razón)

Y abrázame (dame una razón para quedarme)
(Yo no quiero tu compasión)
Y abrázame (dame una razón)
(Solo dame una razón)

Tienes que saber
Que es lo último que pido
Que estoy desesperado y según mis latidos
No me queda mucho tiempo a mi favor"
Pop Rock,Camila,De Mí,"Nunca había sentido algo así
La vida me mantuvo siempre en paz
Llegaste a abrir las puertas del dolor
Y a regalar la soledad

Tu piel envenenó mi corazón
Dejándome en completa oscuridad
Y así en lugar de olvidarte yo
Te fui queriendo mucho más

Y ahora estás aquí
Viéndome sufrir

Dime cómo debo hacer
Para olvidarme de tus besos
Y sacarte para siempre de mí
De mí, de mí, de mí

Lo supe en el momento en que te vi
Quererte iba a dolerme de verdad
Pero volví a mirarte y comprendí
Que iría contigo hasta el final

Y ahora estás aquí
Viéndome sufrir

Dime cómo debo hacer
Para olvidarme de tus besos
Y borrar tu nombre de mí
De mí, de mí, de mí

Intenté alejarme
No pensarte más
No pensarte más

Me dolió entregarme
Como nunca
Lo hice jamás

De mí, de mí, de mí, de mí"
