Genero,Artista,Titulo,Cancion
Reggaeton,Bad Bunny,"Tú No Vive Así (part. Arcangel, DJ Luian y Mambo Kingz)","Me acostumbré al sour, ya no patea
Me llegan a casa, no se capean
Solo modelos como Barea
Multiplicar cienes es en la tarea
Yo soy el cacique en tu propia aldea
Valgo más que todo lo que te rodea
No te la crea, recuerda que Curry la mete
Hasta que Lebron lo galdea

Baja pa' la cuesta
Que ando con la orquesta, cabrón, no es la sexta
Yo nunca estoy abajo en las apuestas y menos en esta
Dile a Vico que, de la recta final, estamos en el final de la recta
El diablo me inyecta y saco la que suena y los acuesta

Otro que se cae por la fuerza de gravedad
Otro más por si sobrevive de casualidad
Refuta mi tesis, cabrón, te vamos a dar catequesis
No he metido un gol y tengo cristianos orándole a Messi

Tú ronca' cabrón y tú no vive' así (tú no vive' así)
Tu jefa se pasa pendiente de mí (pendiente de mí)
Me llama pa' darle y le digo que si
Yo soy un hijueputa desde que nací

Tú ronca' cabrón y tú no vive' así (tú no vive' así)
Tu jeva me llama y le digo que sí (le digo que sí)
Yo no voy a cambiar, yo siempre he sido así (sigo a­quí, sigo, sigo a­quí)
Yo soy un hijueputa desde que nací

Volví, pero pa' meterle al beat
Pero cómo que volví, yo no entiendo, si yo nunca me fui
Más duro que el bicho mío, jode conmigo y sales partido
Tengo un par de hijos, un par de sobrinos
El que no me dice papi, me dice tío

Respeten los rangos, la posición
Cambié la fama por admiración
Nunca me quedo sin munición
Quieren frontear, pero no tienen condición

Sigo mi vida, vivo cabrón
Siempre activo en mi maquinón
Salí solito del callejón
Y le compré una mansión a mami de un millón

Tengo la grasa
Tengo el piquete que mueve las masas
Soy fiel a mi disquera
Por eso to' el mundo pregunta qué pasa

Arcángel suena
Hey, por más que lo bloqueemos
Arcángel llena todos los conciertos
Y nosotros no lo tenemos

Tú ronca' cabrón y tú no vive' así (tú no vive' así)
Tu jeva me llama y le digo que sí (le digo que sí)
Yo no voy a cambiar, yo siempre he sido así (nunca)
Yo soy un hijueputa desde que nací

Tú ronca' cabrón y tú no vive' así (tú no vive' así)
Tu jeva se pasa pendiente de mí (pendiente de mí)
Me llama pa' darle y le digo que si (le digo que nací)
Yo (soy un hijueputa desde que nací)

Hoy salimos de noche con todos los muchachos
Puestos pa' la hisetería
Estos cabrones me roncan de palo
Y nosotros, dueños de la ferretería
Andamos con to' los rosarios sin saber el Ave María
Me roncan, me roncan, me roncan, me roncan
Y están como Meek Mill, sin batería

No fallamos un gancho
Hoy si me toma el engancho
Nos metemos a tu rancho
Y en la cara te hacemos un hueco ancho

¿Qué si soy maleante?
Cabrón, yo no sé
Lo que sé
Es que los nervios no existen después de 2 percocet

Hoy no hay escusa, y si se saca, se usa
Si mi 40 fuera Versache, en la cara te hacemos una medusa
La noche es confusa y si conmigo te cruzas
Cabrón, te vamo' a dejar brincando como en el Lollapalooza

Marihuana, la hooka y pastilla
La cubana que te dejo grilla'o
Hoy te ponemos en capilla
Aunque ande con la familia comiendo empadilla

Todavía no ha nacido alguien que lo haga cómo yo
Si no te pillo en PR, te pillo en los 2000 New York

Austin, baby (oh shit)
Bad Bunny, El Conejo Malo
Y yo soy El Duende Malvado (Hear This Music)
O sea que nos quedó cabrón
Díselo Luian, Mambo Kingz"
Reggaeton,Bad Bunny,"Te Bote (remix) (part. Casper, Nio García, Darell, Nicky Jam y Ozuna)","[Darell]
Este es el verdadero remix, baby

[Ozuna]
Paso muchas noches pensándote
Yo no sé ni cómo, ni cuándo fue
Pero solo sé que yo recordé
Cómo te lo hacía yo aquella vez
Y yo no puedo seguir solo, pero sé
Que te boté

De mi vida te boté, y te boté
Te di banda y te solté, yo te solté
Pa'l carajo usted se fue, y usted se fue
De mi vida te boté, yo te boté, yeh-yeh, mami

[Bad Bunny]
Baby, la vida es un ciclo
Y lo que no sirve ya no lo reciclo
Así que de mi vida muévete
Que si te lo meto, es pa' recordar un TBT, yeh

Ya yo me cansé de tus mentira'
Ahora hay una más dura que me tira
Todo tiene su final, todo expira
Tú eres pasado y el pasado nunca vira

Arranca pa'l carajo, mi cuerpo no te necesita
Lo que pide es un perreo sucio en La Placita
No creo que lo nuestro se repita
Dale, prende un Phillie, deja uno ready pa' ahorita, yeh

Odio saber que en ti una vez más yo confié
Odio todos los te amo que mil veces te texteé
Baby, mejor que tú, ahora tengo como die'
Lo nuestro iba en Bugatti y te quedaste a pie

Yo te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y a tu amiga me clavé, me la clavé
Fuck you, hijueputa, yeh

[Darell]
Bebé, yo te boté
Y desde que te di esa' botá', las gatas son de tre' en tre'
Si tú quieres, pregunta, si no me crees
Que ya no tengo estré', pa' completar la fila son express

Qué vuelta, como el mundo se te fue al revés
Y yo con ella en RD, que me enamoré el día que la probé
Yo ya no creo que vuelva y te dé
Mami, porque el servicio te lo cancelé

Si no respondo, el problema va a tocar fondo
Mami, respira hondo, mientras te lo escondo
Contigo, obligado, hoy yo me pongo el condón
Pero porque voy a media cancha, baby, como Rondo

Yo a ti te doy una sepultura dura
Yo sé que con el tiempo la herida se cura
Es que en verdad es que tú no está' a esa altura
Te lo juro por Dios, aunque por Dios no se jura

[Nio García y Sech]
Bebé, yo te boté (es que yo te boté)
Te di banda y te solté, yo te solté (pa' que sepa')
Pa'l carajo te mandé (pa'l carajo te mandé)
De mi vida te saqué

[Casper Mágico]
(Casper)

Pa'l carajo te boté
Yo sin ti me siento bien
Ya no sufro por amores, ahora rompo corazones
Y sobran las pacas de cien (sobran las pacas de cien)

Tú me rompiste el corazón (tú me rompiste el corazón)
Sin sentido y sin razón (sin sentido y sin razón)
Pero tengo un culo nuevo que me da mucho cariño
Y me chinga bien cabrón (bien cabrón)

No te lo voy a negar que te sufrí, la pasé mal
Pero te superé y de mi vida te boté (yo te boté)
Y te di banda y te solté (y te solté)
Y de ti no quiero saber (quiero saber)
Y pa'l carajo te mandé, hoy me voy a beber

[Ozuna]
(Ozuna)

De mi vida te boté
Yo sé que no eres cualquiera
Me pasaré la vida entera
Preguntando a dónde fue

Pero tu amiga me textea
Siempre que ella me desea
Se tira una foto conmigo
Y me dice pa' que tú la vea'

Prendo pa' ver si me olvido
De tu nombre, tus besos, tu cuerpo, tus gemidos
Lo hacíamos en el carro, me gritaba al oído
Cierro los ojos y pienso en todo lo que hicimos, baby

Prendo pa' ver si me olvido
De tu nombre, tus besos, tu cuerpo, tus gemidos
Lo hacíamos en el carro, me gritaba al oído
Cierro los ojos y pienso en todo lo que hicimos, baby (Nio)

[Nio García]
Yo te di confianza y me fallaste
Te burlaste de mí y me humillaste
Me gusta que te fuiste y no explicaste
Viste mi película y viraste

Ahora quieres saber lo que pienso de ti
Me siento cabrón porque no estás aquí
Así como viniste tú te puedes ir (te puedes ir)

No te voy a negar que te sufrí, la pasé mal
Pero me superé y de mi vida te boté

Y te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y de mi vida te saqué, yo te saqué
Bebé, yo te boté

[Nicky Jam]
Miento si digo que no me hace falta
Cuando me rozaba tu piel
Miento si digo que no me hace falta
Que llames al amanecer
Pidiéndome que te agarre bien dura
En la cama y te haga mi mujer
Aprovecho el remix con Ozu
Para mandarte pa'l carajo también

No quiero mentira' ni tu falsedad
Me voy pa' la calle esta noche a rumbiar
Me bebo dos tragos y te voy a olvidar
Me voy con las baby' que quieran jugar

No quiero mentira' ni tu falsedad
Me voy pa' la calle esta noche a rumbiar
Me bebo dos tragos y te voy a olvidar
Me voy con las baby' que quieran jugar

Bebé, yo te boté, te boté
Te di banda y te solté, yo te solté
Pa'l carajo te mandé, yo te mandé
Y de mi vida te saqué, yo te saqué (te saqué)

[Bad Bunny, Nicky Jam, Ozuna, Darell, Nio García y Casper Mágico]
Yeh, yeh, yeh, yeh, yeh
Bad Bunny, be-be-bé
N-I-C-K (this is the remix)
Nicky-Nicky-Nicky Jam
Casper, Darell, Nio García (yeh)
Ozuna (Ozuna), el negrito de ojo' claro'
This is the remix, Flow La Movie
Young Martino (Hear This Music)
Young Martino (DJ Nelson)
Mera dime Kronix Magical
Esta es la verdadera vuelta, ¿oíste, baby? (Los de la magia)
(La Movie) Mera dime Shorty Complete (pa' que sepa)
El verdadero hijueputa de las voces
Eso es así"
Reggaeton,Bad Bunny,Me Porto Bonito (part. Chencho Corleone),"Yeah-yeah-yeah-yeah-yeah-yeah
Ey

En la guagua, se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco
Eso es lo que no' une

Ella sabe que está buenota
Y no la presumen
Si yo fuera tu gato
Subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea
Lo rica que tú está', que tú está'
Contigo, tengo que apretar

Y еn la calle, ando suelto
Pero, por ti, mе quito
Si tú me lo pides
Yo me porto bonito

Y subo un selfie pa' que vean
Lo rica que tú está', que tú está'
Las otras tienen que apretar

En la calle ando suelto
Pero, por ti, mе quito
Si tú me lo pide'
Yo me porto bonito

Ey, ey
Tú no ere' bebecita
Tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota

Y, wow
Mami, dime dónde dejo el resume
Sé que te dejaste hace un me'
Y de una de pecho, me zumbé
Si quiere', te hago un bebé
O te traigo la' plan B

Uff, mami, qué rica tú te ve'
Pa' los 2000, escuchaba RBD
Y ahora quiere perreo to'a la noche en la pared
Te obsesiono, CBD

Mami, tú ere' élite, no te me límite' (okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite, no te me arisque' (So)
Que aquí no van a poder llegar lo' satélite'

Mami, sube algo
Dame contenido
Ese culo, súbelo má' seguido
Me paso jangueando a ver si coincido, ey
Y por fin doy contigo

Mai, nuestra' bellaquera', nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey

Pero, en confianza, me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa

Pa' que to' el mundo vea
Lo rica que tú está', que tú está', ey
Contigo, tengo que apretar

Y en la calle ando suelto
Pero, por ti, me quito
Si tú me lo pide'
Yo me porto bonito"
Reggaeton,Bad Bunny,Ojitos Lindos (part. Bomba Estéreo),"Hace mucho tiempo le hago caso al corazón
Y pasan los día', los mese', pensando en tu olor (en tu olor)
Ha llegado el tiempo para usar la razón
Ante' que sea tarde y, sin querer, me parta en do' (parta en do')

Antes de que salga el Sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada más seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'

Y solo mírame
Con esos ojito' lindo'
Que, con eso, yo estoy bien
Hoy he vuelto a nacer

Hace tiempo
Que no agarro a nadie de la mano
Hace tiempo
Que no envío: Buenos días, te amo

Pero tú me tiene' enreda'o, me envolví
Iba por mi camino y me perdí
Mi mirada cambió cuando tus ojos vi
Bye-bye a los culo', ni me despedí

Yo no te busqué, no
Chocamo' en el trayecto
Con tu alma es la que yo conecto
Tranquila, no tiene que ser perfecto, no

Aquí no existe el pecado
Y equivocarse es bonito
Los errores son placere'
Igual que to' tus besito'

Y solo mírame
Con esos ojito' lindo'
Que, con eso, yo estoy bien
Hoy he vuelto a nacer

Y solo mírame
Con esos ojito' lindo'
Que, con eso, yo estoy bien
Hoy he vuelto a nacer

Tú y yo, tú y yo, tú y yo (tú y yo, tú y yo)
Tú y yo, tú y yo (tú y yo, tú y yo), tú y yo

Tú y yo, tú y yo
Tú y yo, tú y yo

Yo no me dejo llevar de nadie
Yo solo me dejo llevar de tu sonrisa
Y del lunar cerquita de tu boca
Si yo estoy loco, tú estás loquita

Pero, baby, como tú no hay otra, no
Quiero regalarte girasole'
Ir pa' la playa y buscarte caracole'
Cuando estoy contigo, yo no miro el Rolex

Vamo' a bailar doscientas cancione'
Nadie me pone como tú me pone'

Yo le hablo a Dio' y tú ere' Su respuesta
Aprendí que los momento' lindo' nunca cuestan
Como cuando me regalas tu mirada
Y el Sol su puesta, y el Sol su puesta (ey, ey)

Cuando estoy encima de ti, de ti
Mami, yo me olvido de todo, de todo
No hace falta nadie aquí
Solamente tú y yo

Antes de que salga el Sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada más seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'

Y solo mírame
Con esos ojito' lindo'
Que, con eso, yo estoy bien
Hoy he vuelto a nacer

Y solo mírame
Con esos ojito' lindo'
Que, con eso, yo estoy bien
Hoy he vuelto a nacer"
Reggaeton,Bad Bunny,Where She Goes [explicit],"Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' má'
Que no se vuelve a repetir

Tal ve', en ti, quise encontrar
Lo que, en otra, perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey

No me gusta perder, dime qué vamo' a hacer
Me paso mirando el cel, wow, no puede ser
Aunque me tarde un poco, juro que vo'a responder
Quisiera volverte a ver

Quisiera volverte a ver encima de mí brincando, uh, uh, uh
Lo rica que te ves chingando, uh, uh, uh
No sé qué estamo' esperando
El orgullo nos está ganando, ey

Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' má'
Que no se vuelve a repetir

Tal ve', en ti, quise encontrar, ey
Lo que, en otra, perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey

Uh, desde que nos vimo', pienso en cómo nos comimo', ey
Después dividimo', cada cual por su camino
En la alfombra, aún están las mancha' de vino
¿Y dónde está ese totito? Que lleva tiempo perdido

Si te digo que me gusta', que estás buena, no lo tome' por cumplido
Es que yo soy un bellaco, es que yo soy un atrevido, ey
Y hace tiempo que quiero chingar contigo

Mami, te vo'a dar hasta que te duela la popola como a Glou
Me gusta tu flow
Tranquilita, tú siempre te roba' el show
Una perversa, le vo'a dar dembow
Si se pone en cuatro, I go where she goes

So, mami, dime a ver
I wanna feel that pussy again
Tú tiene' piquete y yo también
Por poco pierdo y te envío un DM, ey

Pa' decirte la verdad
Que no me he olvida'o de ti
Yo sé que fue una noche na' má'
Que no se vuelve a repetir

Tal vez, en ti, quise encontrar
Lo que, en otra, perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey"
Reggaeton,Bad Bunny,Yonaguni,"Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, eh, yeah

Una noche más
Y copas de más
Tú no me dejas en paz
De mi mente no te vas

Aunque sé que no debo, ey
Pensar en ti, bebé
Pero cuando bebo
Me viene tu nombre, tu cara
Tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, oh

Aunque sé que no debo, ey
Pensar en ti, bebé
Pero cuando bebo
Me viene tu nombre, tu cara
Tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, ey

No me busque' en Instagram
Mami, búscame en casa
Pa' que vea' lo que pasa, ey
Si tú me prueba', te casa', ey
Ese cabrón ni te abraza

Y yo loco por tocarte
Pero ni me atrevo a textearte
Tú con cualquier outfit la parte'
Mami, tú ere' aparte

Shorty, tiene' un culo bien grande, eh
De-demasia'o grande
Y yo lo tengo estudia'o, ya mismo me gradúo
Y en la cara me lo tatúo

Vi que viste mi story y subiste una pa' mí
Yo que me iba a dormir, ey
En la disco habían mil
Y yo bailando contigo en mi mente

Aunque sé que no debo
Pensar en ti, bebé
Pero cuando bebo
Me viene tu nombre, tu cara
Tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego

Si me da' tu dirección, yo te mando mil carta'
Si me da' tu cuenta de banco, un millón de peso'
To'a la noche arrodillado a Dio' le rezo
Pa' que ante' que se acabe el año tú me de' un beso

Y empezar el 2023 bien cabrón
Contigo y un blunt
Tú te ve' asesina con ese mahón
Me matas sin un pistolón

Y yo te compro un Banshee
Gucci, Givenchy
Un poodle, un frenchie
El pasto, lo' munchie'
Te canto un mariachi
Me convierto en Itachi, eh

Yeah, yeah, yeah, yeah
Bad Bunny, baby, bebé
Bad Bunny, baby, bebé

kyō wa sekkusushitai
demo anata to dake
doko ni imasu ka?
doko ni imasu ka?

kyō wa sekkusushitai
demo anata to dake
doko ni imasu ka?
doko ni imasu ka? Eh"
Reggaeton,Bad Bunny,Soy Peor,"Salí jodido la última vez que en alguien yo confié
Me compré una forty y a cupido se la vacié
No me vuelvo a enamorar, no
No me vuelvo a enamorar

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor por ti

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor por ti

Hoy yo no quiero fumar regular (no, no)
Tráiganme un kush que me haga sentir espectacular
Para celebrar que ya no estás tú para especular
Y joderme por todos los culos que tengo en el celular

Hoy se bebe, hoy se sale
Ser bueno y fiel ya de nada vale
Por mujeres como tú es que dicen
Que todos los hombres somos iguales

Si no me conoces, no me señales
Ya yo me conozco tus males
Como Hector El Father, hoy yo salgo
Pa' la calle con dos mil anormales

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor, por ti

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor, por ti

Por ti
Ahora hago todo lo que quiero
Solo pienso en mí primero, yeh
Tirando billetes adentro del putero
Pa'l carajo el amor verdadero
Yo solo pienso en hacer dinero

Baby, lo nuestro ya descansa en paz
Me importa un carajo con quién te vas
Dile a tu mai' que ya no me hace falta
Que ahora tengo suegras demás

Tengo la blanquita que me hace lap dance
La roquerita que se lo meto con to' y Vans
La prieta, las rubias, modelos
Y eso sin contar las fans

Yo no estoy para amores de meses
No estoy pa' peleas ni estupideces
Buscate a otro pa' que te bese
Ninguno de esos cabrones a mí se parece

Cada cual tiene lo que merece
A mami dile que por mi no rece
Que yo salgo esta noche virao' pa' la calle
Y nadie va a hacer que yo me enderece, yeh

Salí jodido la última vez que en alguien yo confié
Me compré una forty y a cupido se la vacié
No me vuelvo a enamorar, no
No me vuelvo a enamorar

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor, por ti

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si antes yo era un hijueputa, ahora soy peor
Ahora soy peor, ahora soy peor, por ti

Alex Killer
Mambo Kingz
DJ Luian
Bad Bunny, baby
Hear This Music"
Reggaeton,Bad Bunny,Tití Me Preguntó,"Ey
Tití me preguntó si tengo muchas novia'
Muchas novia'
Hoy tengo a una, mañana otra
Ey, pero no hay boda

Tití me preguntó si tengo muchas novia', je
Muchas novia'
Hoy tengo una, mañana otra

Me la' voy a llevar a to'a pa' un VIP
Un VIP, ey
Saluden a tití
Vamo' a tirarno' un selfie, say cheese, ey
Que sonrían las que ya les metí

En un VIP, un VIP, ey
Saluden a tití
Vamo' a tirarno' un selfie, say cheese
Que sonrían las que ya se olvidaron de mí

Me gustan mucho las Gabriela
Las Patricia, las Nicole, las Sofía
Mi primera novia en kinder, María
Y mi primer amor se llamaba Thalía

Tengo una colombiana que mе escribe to' los día'
Y una mexicana que ni yo sabía
Otra en San Antonio que me quiere todavía
Y las de PR que todita' son mía'

Una dominicana que es uva bombón
Uva, uva bombón
La de Barcelona que vino en avión
Y dice que mi bicho está cabrón

Yo dejo que jueguen con mi corazón
Quisiera mudarme con todas pa' una mansión
El día que me case, te envío la invitación
Muchacho, deja eso, ey

Tití me preguntó si tengo muchas novia'
Muchas novia'
Hoy tengo una, mañana otra
Ey, pero no hay boda

Tití me preguntó si tengo muchas novia'
Ey, ey, muchas novia'
Hoy tengo una, mañana otra

Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (qué pámpara)
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó

(Pero ven acá, muchacho)
(¿Y para qué tú quiere' tanta' novia'?)

Me la' voy a llevar a to'a pa' un VIP
Un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say cheese, ey
Que sonrían las que ya les metí

En un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say cheese
Que sonrían las que ya se olvidaron de mí

(Oye, muchacho 'el diablo azaroso)
(Suelta ese mal vivir que tú tiene' en la calle)
(Búscate una mujer seria pa' ti)
(Muchacho 'el diablo)
(Coño)

Yo quisiera enamorarme
Pero no puedo
Pero no puedo, eh, eh

Yo quisiera enamorarme
Pero no puedo
Pero no puedo

Sorry, yo no confío, yo no confío
Nah, ni en mí mismo confío
Si quieres quedarte hoy que hace frío
Y mañana te va', nah

Muchas quieren mi baby gravy
Quieren tener mi primogénito, ey
Y llevarse el crédito
Ya me aburrí, hoy quiero un totito inédito, je
Uno nuevo, uno nuevo, uno nuevo, uno nuevo

Hazle caso a tu amiga
Ella tiene razón
Yo voy a romperte el corazón
Voy a romperte el corazón

Ey, no te enamores de mí
No te enamores de mí, ey
Sorry, yo soy así, ey
No sé por qué soy así

Hazle caso a tu amiga
Ella tiene razón
Yo voy a romperte el corazón
Voy a romperte el corazón

No te enamores de mí (no)
No te enamores de mí (no), no
Sorry, yo soy así
Ya no quiero ser así, no"
Reggaeton,Bad Bunny,Callaita,"Se acostó temprano, mañana hay que estudiar (eh)
Pero llamó a la amiga, diciendo pa' janguear (eh)
Tiene un culito ahí que le acabó de textear (eh)
Pero en bajita, ella no es de frontear

Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Ella no era así, ella no era así
No sé quién la dañó
Ella no era así, ella no era así
No sé quién la dañó, pero

Ahora, enrola y lo prende
Es panita del que vende, ey
Nena mala de repente
No sé si me miente

Pero sé que tiene más de veinte
Los shots de tequila ni los siente
Ahora, ve la vida diferente
Bueno, pero le gustan delincuentes

La baby llega y se siente la presión
Ella ni trata y llama la atención
Ey, el perreo es su profesión
Siempre puesta pa' la misión

La baby llega y se siente la presión
Ella ni trata y llama la atención
Ey, el perreo es su profesión
Siempre puesta pa' la misión

(E-E-E-E-E) Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Se dejó hace poco y tiene vida nueva
Anda con una amiga que es como su jeva
Que le trajo 5-12 pa' que se las beba
Ella es callaíta', no es que no se atreva

Si hay sol, hay playa
Si hay playa, hay alcohol
Si hay alcohol, hay sexo
Si es contigo, mejor

Si hay sol, hay playa
Si hay playa, hay alcohol
Si hay alcohol, hay sexo
Si es contigo, mejor

Quítate la ropa, que hace calor
Días de playa, noches de terror
En la gaveta, dejó el temor
Pa' las envidiosas, paz y amor

Yeh
Yeh, yeh-yeh-yeh-eh
Tainy, Tainy, ey
Bad Bunny, baby, bebé

Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Ella es callaíta'
Pero pa'l sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida como es

Ella no era así, ella no era así
No sé quién la dañó
Ella no era así, ella no era así
No sé quién la dañó, pero

(Alócate y hazte mía)
(Que la noche lo pidió, el destino lo decidió)
(Ya sé que sentías lo mismo que yo y todavía)
(Nos queda un ratito, para formar el escándalo)
(A menos que no te decidas)"
Reggaeton,Bad Bunny,Otro Atardecer (part. The Marías),"Aún quedan dos botellas de vino
De vino
Por si se juntan nuestro' camino'
Camino'

Y no hay que encontrar el atardecer
Hay mucho de mí que te faltó conocer
Si la vida me da de nuevo el placer
Voy a volverte a besar como aquella ve'

Que el Sol se escondió
Mientras la noche llegaba
No sé qué sucedió
Pero me perdí en tu mirada

Eh, eh, eh, eh
Oh, oh, mami, dime por qué te fuistе
Ey, ey, oh, oh, mami, dime qué tú me hicistе
Que pasa el tiempo y no te olvido

Búscame, ya estoy vestido
Hoy, sí o sí, yo me quedo en un cuarto que no es mío
Déjame acariciarte hasta quedarno' dormido'
Yo haciéndote pose' nueva' y tú improvisando gemido'

Eh, eh, eh, eh
Tú a mí me gusta' más que el dinero
Eh, eh, eh
Quiero que te venga' tú primero

A vece' me pregunto qué será de tu vida
Ojalá un día de esto' me escriba'

Hey, you know I'm thinking 'bout you
Please stay, 'cause I've been thinking 'bout you
Vamo' suavecito, me besa' tan bien
Empieza en mi ombligo, termina a mis pies

Baby, no te olvido
Yo te digo, no te fallaré
No sé qué te hizo
Pero yo nunca te dejaré

Y no hay que encontrar el atardecer
Hay mucho de mí que te faltó conocer
Si la vida me da de nuevo el placer
Voy a volverte a besar como aquella ve'

Que el Sol se escondió
Mientras la noche llegaba
No sé qué sucedió
Pero me perdí en tu mirada"
