Genero,Artista,Titulo,Cancion
Salsa,Marc Anthony,Vivir Mi Vida,"Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

Voy a reír (¡eso!), voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

A veces, llega la lluvia
Para limpiar las heridas
A veces, solo una gota
Puede vencer la sequía

Y para qué llorar, pa' qué
Si duele una pena, se olvida
Y para qué sufrir, pa' qué
Si así es la vida, hay que vivirla, la-la-le

Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

¡Eso!

Voy a vivir el momento
Para entender el destino
Voy a escuchar el silencio
Para encontrar el camino

Y para qué llorar, pa' qué
Si duele una pena, se olvida
Y para qué sufrir, pa' qué
Si duele una pena, se olvida, la-la-le

Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

¡Mi gente!

(Voy a reír, voy a bailar)
¿Pa' qué llorar? ¿Pa' qué sufrir?
Empieza a soñar, a reír

(Voy a reír, voy a bailar)
Siente y baila y goza
Que la vida es una sola

(Voy a reír, voy a bailar)
Vive, sigue
Siempre pa'lante, no mires pa' tras

¡Eso!
Mi gente
La vida es una

Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la"
Salsa,Marc Anthony,Flor Pálida,"Hallé una flor, un día en el camino
Que apareció marchita y deshojada
Ya casi pálida, ahogada en un suspiro
Me la llevé a mi jardín para cuidarla

Aquella flor de pétalos dormidos
A la que cuido hoy con todo el alma
Recuperó el color que había perdido
Porque encontró un cuidador que la regara

Le fui poniendo un poquito de amor
La fui abrigando en mi alma
Y en el invierno le daba calor
Para que no se dañara

De aquella flor, hoy, el dueño soy yo
Y he prometido cuidarla
Para que nadie le robe el color
Para que nunca se vaya

De aquella flor surgieron tantas cosas
Nació el amor que ya se había perdido
Y con la luz del sol se fue la sombra
Y con la sombra, la distancia y el olvido

Le fui poniendo un poquito de amor
La fui abrigando en mi alma
Y en el invierno le daba calor
Para que no se dañara

De aquella flor, hoy, el dueño soy yo
Y he prometido cuidarla
Para que siempre esté cerca de mí
Para que nunca se vaya

Para que nunca se vaya
Para que nunca se vaya
Para que nunca se vaya
Para que nunca se vaya

Le fui brindando cariño
Un poquito de amor (para que nunca se vaya)
Y en el invierno
Llenó mi jardín de color (para que nunca se vaya)
Ay, cuando la vi, me enamoré
Y me la llevé, me la llevé

¡Ave María!
Puerto Rico
¡Hasta acá, Sergio!
Esto sigue"
Salsa,Marc Anthony,Muy Dentro De Mi,"Solo quiero que vuelvas a mí
para otra vez poder sentir
lo que es amor, estaba muerto de dolor
sin ti mi vida ha sido gris
y no hay nada que me haga más feliz
que escuchar tu voz, oh, junto a mí
Hoy contigo sé lo que es vivir
sin tu amor yo no quiero seguir
ya no tengo miedo a amar
esta vez no tengo miedo a amar
Oh, que bello es amarte así
que suerte es tenerte a ti
escuchar tu voz, oh, junto a mi

Todo el tiempo que estuviste aqui y nunca te vi
y la luz de amor brillaba ardiendo en tu mirar
que ciego fui-nunca te vi
y hoy te siento
muy dentro de mi
Esa llama de amor sólo la enciendes tú
como extraño ver tu rostro bajo el cielo azul
Que ciego fui-nunca te ví
y hoy te siento
muy dentro de mí

Y pensar que hoy vives en mí
no sabía que podía existir
este amor entre los dos
hay tanto amor entre tú y yo

Tus palabras me llenan a mí
me motivan y me hacen sentir.. libre
Todo el tiempo que estuviste aqui y nunca te vi
y la luz de amor brillaba ardiendo en tu mirar
que ciego fui-nunca te vi
y hoy te siento
muy dentro de mi
Esa llama de amor sólo la enciendes tú
como extraño ver tu rostro bajo el cielo azul
Que ciego fui-nunca te ví
y hoy te siento
muy dentro de mí"
Salsa,Marc Anthony,Te Amaré,"Desde el día en que te conocí
Me enamoré de ti
En ti vi todo lo que siempre imaginé
Pronunciaste mi nombre y yo
Supe por fin que así
Comenzaría un cuento que no tiene fin

Oh, baby

Te amaré
Para la eternidad yo te amaré
Será pura lealtad
Yo te amaré
Y Nunca negaré que te amaré

Nada importa más que tu amor
Y solo Dios sabrá
Que tan enorme es la pasión que existe en mí
Moriría en tus brazos hoy
Sabiendo que tu mi amor
Abrazarías mi alma en tu interior

Oh, baby

Te amaré para la eternidad
Yo te amaré será pura lealtad
Yo te amaré y nunca negaré
Que te amaré

Niña tu amor afecta mi cuerpo
Cuando ríes parezco volar
Es la magia que sale de tu interior
Me rindo ante tu mirar y quisiera gritar que te amaré

Te amaré
Para la eternidad
Yo te amaré y mi esposa serás
Yo te amaré cásate con tu amado mi amor
Te amaré
Te amaré
Y mi esposa serás
(Te amaré)
Y te voy a llevar al altar"
Salsa,Marc Anthony,Tu Amor Me Hace Bien,"Te quiero así deliciosa insospechada
Porque creo en tu palabra
Porque yo siento que aún te necesito
Porque me alteras las ganas

Te quiero así estruendosa y delicada
Entre alegría y nostalgia
Porque me gusta tenerte vida mía
Y no quiero que te vayas
Porque el amor cuando es verdad sale del alma
Nos aturde los sentidos
Y de pronto descubrimos que la piel
Se enciende en llamas

Bien, tu amor me hace bien
Tu amor me desarma
Ay, tu amor me controla
Me endulza, me encanta
Pero bien, tu amor me hace bien
Tu amor me desarma
Ay tu amor me controla
Me vence, me amarra
Mira que me hace bien, que me hace bien

Te quiero así tan precisa equivocada
Con tus detalles que matan
Porque tenerte a mi lado me hace fuerte
Si eres mi reina y mi espada
Te quiero así cuando ríes cuando callas
Porque al caer me levantas
Porque mi voz y mi espíritu se agitan
Cuando dices que me amas
Porque tu amor como es verdad me vuelve el alma
Me despierta los sentidos
Y de pronto descubrí que aquí en mi piel
Se encienden llamas

Bien, ay tu amor me hace bien
Tu amor me desarma
Tu amor me controla
Me endulza, me encanta
Pero bien, tu amor me hace bien
Tu amor me desarma
Tu amor me controla
Me vence, me amarra"
Salsa,Marc Anthony,Vivir Lo Nuestro,"En un llano tan inmenso
Tan inmenso como el cielo
Voy a podar un jardin
Para que duerma tu cuerpo
En un mar espeso y ancho
Más ancho que el universo
Voy a construir un barco
Para que nade en el sueño

En un universo negro
Como el ebano más puro
Voy a construir de blanco
Nuestro amor para el futuro
En una noche cerrada
Voy a detener el tiempo
Para soñar a tu lado
Que nuestro amor es eterno

Y volar, volar tan lejos
Donde nadie nos obstruya
El pensamiento
Volar, volar sin miedo
Como palomas libres, tan libres como el viento

Y vivir, vivir lo nuestro
Y amarnos hasta quedar, sin aliento
Soñar, soñar despiertos
En un mundo sin razas
Sin colores, sin lamentos
Sin nadie que se oponga
En que tú y yo, nos amemos

Desde una montaña alta
Alta como las estrellas
Voy a gritar que te quiero
Para que el mundo lo sepa
Que somos uno del otro
Y jamás nos dejaremos
Y aunque nadie nos entienda
Por nuestro amor viviremos

En un universo negro
Como el ebano más puro
Voy a construir de blanco
Nuestro amor para el futuro
En una noche cerrada
Voy a detener el tiempo
Para soñar a tu lado
Que nuestro amor es eterno

Y volar, volar tan lejos
Donde nadie nos obstruya
El pensamiento
Volar, volar sin miedo
Como palomas libres, tan libres como el viento

Y vivir, vivir lo nuestro
Y amarnos hasta quedar, sin aliento
Soñar, soñar despiertos
En un mundo sin razas
Sin colores, sin lamentos
Sin nadie que se oponga
En que tú y yo, nos amemos

(Soñar despiertos
Vivir lo nuestro)

Voy a detener el tiempo
Y mantener a mi lado
Nuestro amor que es es sagrado

(Soñar despiertos
Vivir lo nuestro)

Solo viviré, solo viviré lo nuestro y amarnos
Hasta quedar sin aliento

(Soñar despiertos
Vivir lo nuestro)

Volar tan lejos
Como palomas libres
Como el viento

(Soñar despiertos
Vivir lo nuestro)

Voy a gritar que yo te quiero
Para que el mundo ya sepa
Que yo te amo
Sin ti me desespero

La la la, la la la

(Soñar despiertos
Vivir lo nuestro)

Ahhh! Vivir lo nuestro

(Soñar despiertos
Vivir lo nuestro)

Soñar, Volar, volar sin miedo
Vamos a vivir lo nuestro

Déjame, déjame amarte
Hasta quedar sin aliento

(Soñar despiertos
Vivir lo nuestro)

Vamos a vivir un sueño"
Salsa,Marc Anthony,Y Cómo Es El,"Mirándote a los ojos, juraría
Que tienes algo nuevo que contarme
Empieza ya mujer, no tengas miedo
Quizá para mañana sea tarde
Quizá para mañana sea tarde
¿Y como es él?
¿En que lugar se enamoró de tí?
¿De dónde es?
¿A que dedica el tiempo libre?
Pregúntale
¿Por qué ha robado un trozo de mi vida?
Es un ladrón que me ha robado todo
¿Y cómo es él?
¿En que lugar se enamoró de tí?
¿De dónde es?
¿A qué dedica el tiempo libre?
Pregúntale
¿Porqué ha robado un trozo de mi vida?
Es un ladrón que me ha robado todo
Arréglate mujer, se te hace tarde
Y llevate el paraguas por si llueve
Él te estará esperando para amarte
Y yo estaré celoso de perderte
Y abrígate, te sienta bien ese vestido gris
Sonríete, que no sospeche que has llorado
Y déjame, que vaya preparando mi equipaje
Perdóname, si te hago otra pregunta
¿Y cómo es él?
¿En que lugar se enamoró de ti?
¿De dónde es?
¿A qué dedica el tiempo libre?
Pregúntale
¿Porqué ha robado un trozo de mi vida?
Es un ladrón, que me ha robado todo
¿Y cómo es él?
¿En que lugar se enamoró de ti?
¿De dónde es?
¿A qué dedica el tiempo libre?
Pregúntale
¿Porqué ha robado un trozo de mi vida?
Es un ladrón, que me ha robado todo"
Salsa,Marc Anthony,Ahora Quién (Salsa Versión),"¿A quién van a engañar ahora tus brazos?
¿A quién van a mentirle ahora tus labios?
¿A quién vas a decirle ahora te amo?
Y luego en el silencio le darás tu cuerpo
Detendrás el tiempo sobre en la almohada
Pasarán mil horas en tu mirada solo
Existirá la vida amándote

¿Ahora quién?

¿Y quién te escribirá poemas y cartas?
¿Y quién te contará sus miedos y faltas?
¿A quién le dejarás dormirse en tu espalda?
Y luego en el silencio le dirás te quiero
Detendrá su aliento sobre tu cara
Perderá su rumbo en tu mirada y se le
Olvidará la vida amándote

¿Ahora quien? (ohhh)

¿Ahora quién? Si no soy yo me miro y lloro
En el espejo y me siento estupido, ilógico
Y luego te imagino toda regalando el olor
De tu piel, tus besos tu sonrisa eterna y hasta
El alma en un beso en un beso va el alma
Y en mi alma hasta el beso que pudo ser

¿Ahora quién? Si no soy yo me miro y lloro
En el espejo y me siento estupido, ilógico
Y luego te imagino toda regalando el olor
De tu piel, tus besos tu sonrisa eterna y hasta
El alma en un beso en un beso va el alma
Y en mi alma hasta el beso que pudo ser

Ohh, ¿ahora quién?

¿A quién le dejarás tu aroma en la cama?
¿A quién le quedará el recuerdo mañana?
¿A quién le pasarán las horas con calma?
Y luego en el silencio deseará tu cuerpo
Se dentendrá el tiempo sobre su cara
Pasará mil horas en la ventana se le acabará la voz
Llamandote

¿Ahora quién? ¿Ahora quién?

¿Ahora quién? Si no soy yo me miro y lloro
En el espejo y me siento estupido, ilógico
Y luego te imagino toda regalando el olor
De tu piel, tus besos tu sonrisa eterna y hasta
El alma en un beso en un beso va el alma
Y en mi alma hasta el beso que pudo ser

Ohh tus besos tu sonrisa eterna y hasta el
Alma en un beso en un beso va el alma y
En mi alma hasta el beso que pudo ser

Ohh ¿ahora quién?"
Salsa,Marc Anthony,Valió La Pena,"Mirándote a los ojos se responden mis porqués
Me inspiro en tus palabras y mi casa está en tu piel
Que tierno amor, mi devoción, viniste a ser mi religión
Mi dulce sentimiento de nada me arrepiento
Que vivan los momentos en tu boca y en tu cuerpo
Mujer

Valió la pena lo que era necesario para estar contigo amor
Tú eres una bendición
Las horas y la vida de tu lado nena
Están para vivirlas pero a tu manera
Enhorabuena, porque valió la pena
Valió la pena
Valió la pena lo que era necesario para estar contigo amor

Tú eres una bendición
Las horas y la vida de tu lado nena
Están para vivirlas pero a tu manera
Enhorabuena, porque valió la pena
Valió la pena, valió la pena
Valió la pena, nena

Te veo y me convenzo que tenías que llegar
Después de la tormenta aquí en tu pecho puedo anclar
Y ser más yo, de nuevo yo, y por bandera mi ilusión
Y mira si te quiero que por amor me entrego
Que vivan los momentos en tu boca y en tu cuerpo
Mujer

Valió la pena lo que era necesario para estar contigo amor
Tú eres una bendición las horas y la vida de tu lado nena
Están para vivirlas pero a tu manera
Enhorabuena, porque valió la pena
Valió la pena, valió la pena
Valió la pena, nena

Porque valió la pena amor
Sí que valió la pena
Vivir a tu manera amor, ay enhorabuena
Valió la pena"
Salsa,Marc Anthony,Y Hubo Alguien,"De repente te da
Por volverme a buscar
Por hablar de los dos
Y salir a cenar
Tal parece que yo
Te hice falta de más
Que no fuiste feliz
Con tu otra mitad

De repente te da
Por volver a sentir
Quién es el que en verdad
Sabe hacerte feliz
Pero se te olvidó
Que al marcharte de aquí
Yo quedé igual que tú
Libre para elegir

Y hubo alguien
Que se encargó de darme todo cada tarde
Que se moría por llenarme de detalles
Y palabras amables
Si hubo alguien
Que mientras tú vivías tu vida
Muy aparte
Se encargaba de la mía con coraje
Y logró conquistarme
Y a ese alguien
Una noche de locura interminable
Le entregué mi cariño
Mi cuerpo, mi alma, mi mente
Y mi ser
Como tú ya lo sabes

De repente te da
Por romper a llorar
Por decir que jamás
Me pudiste olvidar
Pero se te pasó
Que al marcharte de aquí
Yo quedé igual que tú
Libre para elegir

Y hubo alguien
Que se encargó de darme todo cada tarde
Que se moría por llenarme de detalles
Y palabras amables
Si hubo alguien
Que mientras tú vivías tu vida
Muy aparte
Se encargaba de la mía con coraje
Y logró conquistarme
Y a ese alguien
Una noche de locura interminable
Le entregué mi cariño
Mi cuerpo, mi alma, mi mente
Y mi ser
Como tú ya lo sabes

(Se te olvidó decirme adiós)
(Se te olvidó decirme adiós)
(Y hubo alguien)
Alguien que llenó mis días y mis noches
Con una nueva ilusión
(Se te olvidó decirme adiós)
Se te olvidó
(Se te olvidó decirme adiós)
(Y hubo alguien)
Se te olvidó decirme adiós
Y abría mis puertas para otro amor

(Ella, me da, tanto)
Tú me dejaste ir
(Me da mucho amor)
Y no pensaste en mí
(Y mucho calor)
Y ahora no puedes vivir
Sola, sin mí
Ahora hay alguien que me da
(Me da mucho amor)
Mucho amor y un cariño
Sincero, perfecto y bonito
Tú ves

Ataca cuco
(Que lloré, te digo que lloré que lloré)
(Que lloré, te digo que lloré que lloré)
(Qué lloré)
Deconsolado
Triste y desesperado
Tú no pensaste en mi pena
Y te marchaste, mi nena
Llora que te llora
Llora que te llora,
Pero tú ya no me importas
Ooh

Y ahora no puedes vivir
Sola, sin mí
Y ahora no puedes vivir
Sola, sin mí

Y ahora no puedes vivir
Sola, sin mí
Y ahora no puedes vivir
Sola, sin mí"
