Genero,Artista,Titulo,Cancion
Vallenato, Diomedes Díaz,Tu Cumpleanos,"Ay! Vamos a entonar una canción
Pa' que cantemos
Vamos a festejar con emoción
Su cumpleaños
Vamos a decirle con amor
Que la felicitamos
Y que siga cumpliendo muchos más
Que la virgen la tiene que cuidar
Que de mi parte nada en la vida le faltará

Y que los cumpla feliz muy feliz
Deseamos todos en esta reunión
Y que los cumpla feliz muy feliz
Deseamos todos en esta reunión

Tus amistades llegamos aquí
Pa' compartir esa gran bendición

Bendición de mamá
Bendición de papá
Bendición de mamá
Bendición de papá

Y yo te vine a cantar esta canción
Y te deseo mucha felicidad

Ay! Vamos a abrir una botella de vino
Pa' que brindemos
Por que hoy con toditos tus amigos
Amanecemos
Ay! Por que hoy esta cumpliendo años
Lo que más quiero
Y estoy repleto de felicidad
Que hasta me han dado ganas de llorar
Gracias a Dios
Por que has cumplido un año más

Cuántos clavelitos nacerían
Junto contigo
Cuántas rosas blancas ese día
También nacieron
Cual sería el cura que le diría
A tu padrino
El deber que él ya tenía con su ahijada
Que los diez mandamientos los rezaban
Desconociendo que tu tenias
Quien te cuidara

Y que los cumpla feliz muy feliz
Deseamos todos en esta reunión
Y que los cumpla feliz muy feliz
Deseamos todos en esta reunión

Tus amistades llegamos aquí
Pa' compartir esa gran bendición

Bendición de mamá
Bendición de papá
Bendición de mamá
Bendición de papá

Mil felicitaciones
Que cumplas muchos más
Que la virgen te cuide
Que te cuide bastante
Por que yo de mi parte
También te cuidaré"
Vallenato, Diomedes Díaz,Tú Eres La Reina,"Pueden haber más bellas que tú
Haber otra con más poder que tú
Pueden existir en este mundo
Pero eres la reina

Las hay con coronas de cristal
Y tienen todas las perlas del mar
Tal vez, pero en mi corazón
Tú eres la reina

Una reina sin tesoro ni tierras
Que me enseño la manera de vivir nada más
A estas horas de la vida lamento
Haber gastado mi tiempo en cosas que no están

Quiero que nunca olvides cuanto este hombre te quiere
Y que deseo que algún día me cierres los ojos por mí
Sola, me acompañaste en tantas luchas que tuve
Y hoy que he ganado en casi todas
No dudes, seguirás en mí

Trata ser mientras se pueda conmigo feliz
Solo se tiene la dicha un instante no más

Y todavía no falta quien me la llame
Que si es traviesa mi reina coqueta
Siento que con esos ojos del valle
Todos saben que yo no quiero fiesta
Siento que con esos ojos del valle
Todos saben que yo no quiero fiesta

Pueden haber más nobles que tú
Haber otra con más honor que tú
Pueden existir en esta vida
Pero eres la reina

Tu no pides nada por tu amor
Tu no quieres nada por tu amor
Y aunque en tu castillo nada tengas
Tú eres la reina

Una reina sin tesoro mi tierra
Que me enseño la manera de vivir nada más
A estas horas de mi vida lamento
Haber gastado mi tiempo en cosas que no están

Dicta, tu voluntad contra la mía señor
Que a dónde vaya, sigues siendo mi amor, mi felicidad
Dejo a mis amigos estos versos buenos
A los que saben cuánto di por tus besos
Cuanto de verdad

Trata ser mientras se pueda conmigo feliz
Solo se tiene la dicha un instante no más

Y todavía no falta quien me la llame
Que si es traviesa mi reina coqueta
Siento que con esos ojos del valle
Todos saben que yo no quiero fiesta
Siento que con esos ojos del valle
Todos saben que yo no quiero fiesta

Que me vieron con Gustavo Gutiérrez
Que vieron con Santiago pasar
Que me vieron en San Juan con Diomedes
Y después cogimos pa' carrizal
Todo eso le dicen a mi reina
Solamente para hacerla pelear
Pero yo siempre llego al novalito
Porque nunca le puedo fallar"
Vallenato, Diomedes Díaz,Tres Canciones,"Hágame el favor compadre Debe
llegue a esa ventana marroncita
toque tres canciones bien bonitas
que a mi no me importa si se ofenden 

Que yo las canto con el alma,
para esa linda morenita
de la ventana marroncita,
a donde duerme mi adorada 

Dicen que el amor cuando es sincero
es como una nube en primavera
que devuelve a bueno un aguacero
agua para sustentar la tierra 

Y en esa forma el corazón
Ay! cuando quiere de verdad
de día de noche o madruga'
vive alimentando su amor 

Este sentimiento cariñoso
gira alrededor de mi alma buena
que por ser tan noble me condena
y eso es lo que a ti te importa poco 

Ya yo no quisiera insistirte
porque veo poca voluntad
y esta es una vaina fregada
ya yo no tengo que decirte"
Vallenato, Diomedes Díaz,A Un Cariño Del Alma,"No se acaban todas las palabras
Y ni siquiera puedes reprochar
Cuánto duele un cariño así en el alma
Como el que tú me diste nada más

Pienso que viví mi vida
De forma distinta a todos los demás
Que si volviera el pasado
Viviría despacio y te quisiera más

Pero aquí estoy deshojando el dolor
Por donde quiera que estés en verdad
Dime que hacer con este corazón
Que solo sabe extrañarte y cantar

No busco a nadie quien quiera culpar
Yo asumo toda esta pena sin fin
Reminiscencia de un beso sin par
Que en este mundo no he vuelto a sentir

Y un cariño de estos quien no ha de llorar
Un cariño de estos que encierra pasión
Y un cariño de estos quien no ha de llorar
Un cariño de estos que encierra pasión

Ay amor del alma que se ha de cantar
Con lo más sublime de la inspiración
Como un dejo triste como el recordar
Son dejos que salen desde el corazón

Cuando uno siente que la vida pasa
Es tarde para muchas cosas ya
Cuanto duele un cariño así del alma
Al comprender que la amo y si no está

Cuando vuelva a enamorarme
He de recordarme que contigo fui
Muy descuidado al quererte
Porque creí que siempre serías para mí

Pero aquí estoy enfrentando el ayer
Sueños que enferman sin cura y final
Ha terminado la angustia tal vez
Pero también la esperanza de amar

No tengo pena de ser lo que fui
El cantador de tus versos de amor
Profundo como el recuerdo de ti
Y vallenato como es mi canción

Y un cariño de estos quien no ha de llorar
Un cariño de estos que encierra pasión 
Y un cariño de estos quien no ha de llorar
Un cariño de estos que encierra pasión 

Ay amor del alma que se ha de cantar
Con lo más sublime de la inspiración
Como un dejo triste como al recordar
Son dejos que salen desde el corazón

Y un cariño de estos quien no ha de llorar
Un cariño grande que encierra pasión
Y un cariño de estos quien no ha de llorar
Un cariño de estos que encierra pasión

Ay amor del alma que se ha de cantar
Con lo más sublime de la inspiración
Como un dejo triste como al recordar
Son dejos que salen desde el corazón

Ay amor del alma que se ha de cantar
Con lo más sublime de la inspiración
Como un dejo triste como el recordar
Son dejos que salen desde el corazón"
Vallenato, Diomedes Díaz,Amarte Más No Pude,"Para qué me quieres culpar
Si tú eras para mí como agua pa'l sediento
Acaso no recuerdas ya que me sentí morir
Sin la miel de tus besos

Pero una vez te vi partir
No lo pude evitar
Me quedé en el intento
Dejaste de regar el jardín
Y en él no quedan ya sino pétalos muertos

Y entonces para qué decir
Que no te amaba si no es cierto
Entonces para qué decir
Que no te amaba si no es cierto

Decir que no te amaba sería negar mis canciones
Y que Freddy Molina nunca le cantó a su tierra

Que la cumbia y el porro no son el sentir más noble
De todos los troveros de la región sabanera
Y me forgé contigo todo un mundo de ilusiones
Hasta sentí llevarte como la sangre en mis venas

Pero un día te marchaste de mi tierra
Sin decirme porque ni para donde
Pero un día te marchaste de mi tierra
Sin decirme porque ni para donde

Te quise con el alma, bien sabes
Que amarte más no pude, volaste
Con rumbo hacia las nubes, más altas
Ya no pude alcanzarte

Hoy cuando de la nube te bajas
Es demasiado tarde, que vaina
Pues ya no queda nada, de aquel amor tan grande
Pues ya no queda nada, de aquel amor tan grande

Quien pudo amarnos más que Dios
Si fue quien nos creó un día a su semejanza
El mismo que en la cruz murió por nuestra salvación
Uno como si nada

De igual manera sufrí yo la ausencia de su amor
Mientras tanto volabas
Sin importarte mi dolor, ahí estuvo tu error
Entonces qué reclamas

Y hoy vienes buscando perdón
Porque un viento quebró tus alas
Y hoy vienes buscando perdón
Porque un viento quebró tus alas

Yo puedo perdonarte si es que estás arrepentida
Pero volver contigo no lo puedo hacer ni en sueños

Recuerda que te di la mejor parte de mi vida
Buscando ser feliz pero fallé en mi noble empeño
Porque mis sentimientos los dejaste por el suelo
Como algo que no sirve y que en cualquier parte se tira

Y si en algo te sirve de consuelo
Le pediré a mi Dios, que te bendiga
Y si en algo te sirve de consuelo
Le pediré a mi Dios, que te bendiga

Te quise con el alma, bien sabes
Que amarte más no pude, volaste
Con rumbo hacia las nubes, más altas
Ya no pude alcanzarte

Hoy cuando de la nube te bajas
Es demasiado tarde, que vaina
Pues ya no queda nada, de aquel amor tan grande
Pues ya no queda nada, de aquel amor tan grande
Pues ya no queda nada, de aquel amor tan grande"
Vallenato, Diomedes Díaz,Condor Herido,"Si yo pudiera alzar el vuelo
Alzar el vuelo como hace el cóndor que vuela alto muy alto
Me fuera lejos, pero bien lejos
Adonde nadie nunca supiera del papa de Rafael Santos

Porque una pena tras otra pena estan acabando conmigo
Y yo por ser un hombre tan fuerte he podido resistir
Ay y no me quiero morir porque me duelen mis hijos

Porque una pena tras otra pena estan acabando conmigo
Y yo por ser un hombre tan fuerte he podido resistir
Ay y no me quiero morir porque me duelen mis hijos

Mejor me voy, mejor me voy
Como hace el cóndor herido
Ay! mejor me voy, mejor me voy
Como hace el cóndor herido

Para que plata, si no es por eso
Porque trabajo y en cualquier parte yo me la puedo ganar
És lo que siento aqui en el pecho
Que con dinero jamas y nunca se puede solucionar

Yo me refiero es a la señora que fue conmigo al altar
Que yo la adoro y la quiero tanto y es la mama de mis hijos
Pero me da mucho pesar que me esta quitando el cariño(bis)

Mejor me voy, mejor me voy
como hace el cóndor herido
Ay! mejor me voy, mejor me voy
Como hace el cóndor herido

Tiene razón ella, tiene razón, en ciertas cosas
Porque deberas yo reconozco de que si soy mujeriego
Pero ella sabe y a mi me consta
Que cuando los dos nos conocimos sabia que era parrandero

Entonces ahora después de viejo vive peleando conmigo
Si llego tarde o llegue temprano es la misma cantaleta
Ay voy a arregla la maleta y voy a coger mi camino

Adiós, adiós
Adiós, adiós
Ya se va el cóndor herido
Adiós, adiós
Adiós, adiós
Ya se va el cóndor herido"
Vallenato, Diomedes Díaz,Injusticia,"Ya todo paso ya no queda nada
Tú seguramente te has olvidado de este hombre ya
Aun siento la pena que me causaras
Y acabar las cosas de esa manera tan informal
Yo no te reprocho que me cambiaras
Porque esa no es cosas del otro mundo
En cualquier mujer
Lo que si resiento es que me engañaras
Y que me tuvieras como un muñeco delante de el

Me deje engañar
Porque en estos casos uno es el ultimo en enterarse
Puede ser muy cierto
Puede saberse por todas partes
Pero quien lo sabe delante de uno se esta callao

Y uno que no esta enterao
Pasa siempre por cobarde
Y uno que no esta enterao
Pasa siempre por cobarde

Si yo no te daba lo que querías
Si yo no era el hombre que te llegaba hasta el corazón
Debiste decirme lo que sentías
Pero valerte de la injusticia y de la traición
Yo no iba a obligarte a que me quisieras
Ni a que me mintieras precisamente ese fue tu error
Si algo de vergüenza todavía te queda
Baja la cabeza siempre que escuches esta canción

Y si un día me vez
Espero que no tengas el descaro de saludarme
Porque francamente ya no eres digna ni de mirarme
Para mi hasta un canto sin melodía vale mas que tu
Dios te preste la salud pa que goces con tu amante
Dios te preste la salud pa que goces con tu amante"
Vallenato, Diomedes Díaz,Sin Medir Distancias,"La herida que siempre llevo en el alma
No cicatriza
Inevitable me marca la pena
Que es infinita
Quisiera volar muy lejos muy lejos
Sin rumbo fijo
Buscar un lugar del mundo sin odio
Vivir tranquilo

Eliminar la tristezas
Las mentiras, las traiciones
No importa que nunca encuentre el corazón
Lo que ha buscado de verdad
No importa el tiempo
Que es ya muy corto
En las ansias largas de vivir
Cualquier minuto de placer
Será sentido en realidad
Si lleno el alma si lleno el alma de eternidad
Si lleno el alma si lleno el alma de eternidad

Es muy triste recordar
Momentos felices
De un cariño que sangró
Mi corazón
Llego la hora de partir
Sin medir distancias
Y ni sombra quedara
De aquel amor
Y ni sombra quedara
De aquel amor

No quiero volver a verla más nunca
En mi camino
Distancia que nos separa me hiere
Su cruel olvido
Es muy cierto que las noches tan largas
Con mi desvelo
Rayito de la mañana tu sabes
Cuanto la quiero

Solitario en el recuerdo
Se va alejando mi queja
Amigos que me conocen me dirán
¿Que es lo que pasa en tu interior?
No eres el mismo que conocimos
Lleno de vida y de ilusión
Se nota a leguas de verdad
Que te lastima el corazón
Se nota a leguas que estas sufriendo por un amor
Se nota a leguas que estas sufriendo por un amor

Es muy triste recordar
Momentos felices
De un cariño que sangró
Mi corazón
Llego la hora de partir
Sin medir distancias
Y ni sombra quedara
De aquel amor
Y ni sombra quedara
De aquel amor
Y ni sombra quedara
De aquel amor"
Vallenato, Diomedes Díaz,Manguito Biche,"Ay no le heches la culpa al destino
Por que haya decaído tu vida
Que no tiene que ver contigo
Si te lo buscaste tu misma

Ay cuando yo fui tu enamorado
Me dijiste que no podias
Aceptar a un hombre varado
Que de nada te serviriá

Y has quedado dando vironga
Diciendo que deseas la muerte bis
Ay porque un rico te puso gorda
Pero gorda por nueve meses bis

Y el adagio dice bien claro
Que sarna con gusto no pica
Y si pica no mortifica
Dime por que ahora andas llorando

Y és que la ambición rompe el saco bis
Y a ti te pas en forma exacta
Por andar pendiente a la plata
De tu vida hiciste un fracaso

Ya no sales de la oficina
A pasear en un carro nuevo bis
Ay fue que te fallaron los frenos
O se acabo la gasolina bis
Míralo bien

Ni me alegra ni me entristece
El mal que padeces ahora
Yo te lo decía diariamente
Pero no me paraste bolas

Y a muchas mujeres sucede
Casos igualito' a este tuyo
Que se entregan por el billete
Sin sentir amor por ninguno

Luego vienen los ay ay ay
Ay Dios mo que fue lo que hice bis
Ay siento ganas de vomitar
Me provoca un manguito biche"
Vallenato, Diomedes Díaz,Bonita,"Oye bonita, cuando me estás mirando
Yo siento que mi vida cubre todo tu cuerpo
Oye bonita, cuando me estás mirando
Yo siento que mi vida cubre todo tu cuerpo

Oye bonita, y me siento tan contento
Que en el instante pienso como será mañana
Cuando te bese totalmente confiado
Que si alguien esta mirando me comprende en seguida

Que tus ojos me dominan
Que tu boca me fascina
Que tu cuerpo me enloquece
Que cuando estemos juntos todo el mundo diga
Caramba, esos muchachos sí se quieren

Que cuando estemos juntos todo el mundo diga
Caramba, esos muchachos si se quieren

Pueda ser que Dios los guarde y la Virgen bendiga
El cariño que se tienen
Pueda ser que Dios los guarde y la Virgen bendiga
El cariño que se tienen

Como yo vivo de un lado para otro
Porque mi profesion me obliga a hacerlo así
Me pongo triste cuando me encuentro lejos
Entonces es cuando quiero estar cerca de ti

Pa' ver si así no te pones molesta
Por causa de la ausencia que separa nuestras vidas

Que tus ojos me dominan
Que tu boca me fascina
Que tu cuerpo me enloquece
Que cuando estemos juntos todo el mundo diga
Caramba, esos muchachos si se quieren

Que cuando estemos juntos todo el mundo diga
Caramba, esos muchachos si se quieren

Pueda ser que Dios los guarde y la Virgen bendiga
El cario que se tienen
Pueda ser que Dios los guarde y la Virgen bendiga
El cario que se tienen

Como tu dices que vives indecisa
Porque la desconfianza te daa el pensamiento
Vengo a decirte en mi cancin, bonita
Que mi alma necesita tu noble sentimiento

Porque en la vida hay cosas importantes
Que son ms elegantes si se tratan con respeto

Es que tus ojos me domin"
