Genero,Artista,Titulo,Cancion
Pop,Camilo,Manos de Tijera,"Le dije al cielo que te fuiste
Y empezó a llorar
Seguro se acordó
Del día en que te conocí
Tú con el pelo suelto
Y yo con esas ganas de hacerte reír
Buscando mil maneras pa' no ser de nuevo
Eso que siempre fui
Y ya no quiero ser

Me duele cada que me acuerdo de tus besos
Me duelе porque el tiempo va dе ida
Y va sin ruta de regreso
El día que le borraste a mi contacto el corazón
Ese día me borraste el corazón
Y si pudiera hacer algo diferente
Lo habría hecho todo diferente
Tú y yo teníamos un propósito
Nada de esto fue a propósito

No es secreto
Perdóname por no decirte que no soy perfecto
Y ahora que estás sola, dime
Si me echas de menos tan solo un poquito
Quiero saber si te duele lo mismo que a mí
Que a mí

No es secreto
Perdóname por no mostrarte todos mis defectos
Ahora que estás sola, dime
Si me echas de menos tan solo un poquito
Quiero saber si te duele lo mismo que a mí
Porque yo no puedo respirar
Sin ti

Yo sé que pasarán los años
Y que en cualquier momento
Subes una foto en los brazos de un extraño
Eso sí va a hacerme daño
Cuando sea otro el que te cante el cumpleaños
Pero no te culpo
Yo sé que vas a rehacer tu vida
Lo único que quiero que tú sepas
Es que yo no puedo rehacer la mía

Dime si recuerdas el primer viaje que hicimos
Y si lo recuerdas, dime
Si en tu mente aún sientes lo mismo
Y si no, quiere decir que nos perdimos
Pero yo sé que adentro tuyo
Todavía sigue vivo el sentimiento
Que el primer día nos unió
Yo sé que dentro se te mueve el corazón
A ver, dime que no
A ver, dime que no

No es secreto
Perdóname por no decirte que no soy perfecto
(No soy perfecto)
Y ahora que estás sola, dime
Si me echas de menos tan solo un poquito
Quiero saber si te duele lo mismo que a mí
Que a mí

No es secreto
Perdóname por no mostrarte todos mis defectos (yeh)
Ahora que estás sola, dime
Si me echas de menos tan solo un poquito
Quiero saber si te duele lo mismo que a mí
(Dime si te duele tanto)
Porque yo no puedo respirar
Sin ti"
Pop,Camilo,Por Primera Vez (part. Evaluna Montaner),"Tengo tantas ganas
Ay, de besarte en las mañanas
Justo cuando te levantas
(Te amo)

Pero tengo miedo (tengo miedo)
Que busques a alguien perfecto
Y yo tan de carne y hueso
(Te amo)

Si pudiera controlar el tiempo
Yo volvería a esperar de nuevo
Una y mil veces
Pa' ver cómo amaneces

Por primera vez
Un amanecer bonito
Por primera vez
Lo que quiero y necesito
Por primera vez
Hoy duerme el cielo conmigo
Por primera vez (te amo)
Yo volví a nacer contigo
Yeh, yeh, contigo

Si yo te tengo, no me falta nada (no)
Tan largo que fue ayer y ya casi es mañana
Pa' darte los besos que nunca nos dimos

Para decirte cosas bonitas
Siempre yo aquí estaré
Porque yo me siento bien
Cuando tú te sientes bien

Mi vida es vida solo contigo
Si tú no estás, no tiene sentido, amor
Lo que quiero y necesito
Tú y yo

Por primera vez
Un amanecer bonito (un amanecer bonito)
Por primera vez
Lo que quiero y necesito (tú eres lo que yo necesito)
Por primera vez
Hoy duerme el cielo conmigo (yeh, yeh)
Por primera vez (te amo)
Yo volví a nacer contigo
(Yeh, yeh, contigo)

Mi vida es vida solo contigo (solo contigo)
Si tú no estás, no tiene sentido, amor (que no tiene sentido)
Lo que quiero y necesito (dime)

Mi vida es vida solo contigo
Si tú no estás, no tiene sentido, amor
Lo que quiero y necesito (yeh, yeh, yeh)

Por primera vez
Un amanecer bonito (un amanecer bonito)
Por primera vez
Lo que quiero y necesito (que te quiero, ven)
Por primera vez
Hoy duerme el cielo conmigo
Por primera vez (te amo)
Yo volví a nacer contigo
Yeh, yeh, contigo

Si pudiera controlar el tiempo
Yo volvería a esperar de nuevo
Una y mil veces
Pa' ver cómo amaneces"
Pop,Camilo,5:24,"Hoy me dijeron: ¿Qué más?, ¿cómo va la vida?
Y yo pensé: ¿Cuál vida?
Si esa se me fue hace rato
Cuando te fuiste, mi vida

Y dime cómo ser fuerte en la mitad de la debilidad
Cómo pararme si tú eras mi estabilidad
Casi me agarro y me tiro en la basura
Esta depresión que tengo, con nada se me cura

Mi psicóloga lo vio todo con mucha sencillez
Estoy seguro que yo soy su paciente del mes
Nos vemos pa' hablar de ti lunes, miércoles y viernes
Sábados y domingos, los martes y los jueves

Siempre me pareció loco lo de la reencarnación
Pero desde que te fuiste, volví a prestarle atención
Porque la idea de tenerte junto a mí
Aunque no sea en esta vida
A veces me hace feliz

Porque yo extraño todo de ti
Pero también extraño esa parte de mí
Que se fue contigo
Que se fue contigo

Porque yo extraño todo de ti
Pero también extraño esa parte de mí
Que se fue contigo
Y se quedó contigo

Sin ti yo soy
Como un águila sin alas
Como una sal que no sala
Como una casa sin sala

Como un chaleco antibalas
Pero que no para balas
Así soy yo sin ti
Que no sirvo para nada

Hay días que sale el Sol y sigue haciendo frío
Porque siempre es invierno si no estás al lado mío
Voy a tener que comprar un disco duro
Para guardar esos planes que no llegan al futuro

Y no hay día que no te piense
No hay noche que no te extrañe
No te encuentro por la casa
No te encuentro por la calle

No hay día que no te piense
No hay noche que no te extrañe
No te encuentro por la casa
No te encuentro por la calle

Porque yo extraño todo de ti
Pero también extraño esa parte de mí
Que se fue contigo
Que se fue contigo

Porque yo extraño todo de ti
Pero también extraño esa parte de mí
Que se fue contigo
Y se quedó contigo

Hoy me dijeron: ¿Qué más?, ¿cómo va la vida?
Y yo pensé: ¿Cuál vida?"
Pop,Camilo,Vida de Rico,"Yo puedo ofrecerte una vida muy interesante
Pero depende, para ti, qué es interesante
Si estás pensando en discotecas, carros y diamantes
Entonces puede que pa' ti sea insignificante

No es vida de rico
Pero se pasa bien rico
Y si en la casa no alcanza pa'l aire
Te pongo abanico

Yo no tengo pa' darte ni un peso
Pero sí puedo darte mis besos
Pa' sacarte, yo tengo poquito
Pero es gratis bailar pegaditos

Yo no tengo pa' abrirte champaña
Pero sí cervecita en la playa
Aunque es poco lo que yo te ofrezco
Con orgullo, todo lo que tengo es tuyo

Sería mentira decir que ahora mismo
Puedo darte el viaje que tú te mereces
No será Europa, pero el Sol cayendo
Desde mi balcón, medio se le parece

Y yo que tú no me acostumbraría
A estar aquí en estas cuatro paredes
Haría todo por comprarte un día
Casa con piscina, si Diosito quiere

Yo no tengo pa' darte ni un peso
Pero sí puedo darte mis besos
Pa' sacarte, yo tengo poquito
Pero es gratis bailar pegaditos

Yo no tengo pa' abrirte champaña
Pero sí cervecita en la playa
Aunque es poco lo que yo te ofrezco
Con orgullo, todo lo que tengo es tuyo

Aunque no es mucho
Es tuyo, tuyo, tuyo

No es vida de rico
Pero se pasa bien rico (se pasa bien rico)
Y si en la casa no alcanza pa'l aire
Te pongo abanico

Yo no tengo pa' darte ni un peso
Pero sí puedo darte mis besos
Pa' sacarte, yo tengo poquito
Pero es gratis bailar pegaditos (pegaditos)

Yo no tengo pa' abrirte champaña
Pero sí cervecita en la playa (ay, en la playa)
Aunque es poco lo que yo te ofrezco
Con orgullo, todo lo que tengo es tuyo"
Pop,Camilo,Tutu (part. Pedro Capó),"(Camilo)

Ay, yo no sé de poesía
Ni de filosofía
Solo sé que tu vida
Yo la quiero en la mía

Yo no sé
Cómo hacer pa' no tenerte
Las ganas que te tengo
Cómo hacer pa' no quererte, yey

Tú-tú, nadie como tú-tú
No hay un sustituto
Pa' ese cuerpo tuyo, que a mí ya me tiene cucu
En un rato, te busco, voy y te acurruco, yeh

No hay nadie como tú-tú
Porque no hay nadie como tú-tú
No hay nadie como tú-tú (no hay nadie como tú)
No hay nadie como tú-tú (nadie como tú)

Estamos online como YouTube
Conectados como Bluetooth
Si me dejas, yo soy la aguja
Y tú, mi muñeca vudú-dú

Yo te quiero pa' mí-mí
Si me dices que sí-sí
Me muero y me desmuero solo por ti

Porque yo me acurruco solo contigo (solo contigo)
Pongamos el aire en dieciséis, pa' morirnos de frío
Y vente pa'l lado mío (vente pa'l lado mío)
Que mis besitos de pronto te sirven de abrigo

Cómo hacer pa' no quererte, yey

(Nadie como) tú-tú, nadie como tú-tú
No hay un sustituto
Pa' ese cuerpo tuyo, que a mí ya me tiene cucu
En un rato, te busco, voy y te acurruco, yeh

No hay nadie como tú-tú
Porque no hay nadie como tú-tú (no hay nadie)
No hay nadie como tú-tú (nadie como tú)
No hay nadie como tú-tú (nadie como tú)

Porque yo me acurruco solo contigo
Pongamos el aire en dieciséis, pa' morirnos de frío
Y vente pa'l lado mío (ay, vente pa'l lado mío)
Que mis besitos de pronto te sirven de abrigo

Cómo hacer pa' no tenerte
Las ganas que te tengo
Cómo hacer pa' no quererte, yeh

Tú-tú, nadie como tú-tú
No hay un sustituto
Pa' ese cuerpo tuyo, que a mí ya me tiene cucu
En un rato, te busco, voy y te acurruco, yeh

No hay nadie como tú-tú (no hay nadie como tú)
Porque no hay nadie como tú-tú (nadie como tú)
No hay nadie como tú-tú (no hay nadie como tú-tú)
No hay nadie como tú-tú (no hay nadie como tú-tú)

La Tribu
(Capó)

(No hay nadie como)"
Pop,Camilo,De Adentro Pa Afuera,"Parece que cuando algo pasa
Primero lo entiende la mente
Dicen que el corazón se tarda
Pero que, al final, lo entiende

Y yo estoy en ese proceso
Y aunque ahí está el barco, no abordo
Porque yo me grito en el pecho
Pero el cora se hace el sordo

Si quieres, lo saco de adentro pa' afuera
Pa' que le expliques tú, que eres la dueña
A ver si te hace caso
Y, la página, paso

Dile que tú ya no sientes lo mismo por mí
Dile que no estamos juntos y que eres feliz
Dile que hay alguien que llegó a tu vida
Pero ojalá que sea mentira

Porque si es así
Porque si es así
Aunque ya me mataste, me vuelvo a morir

Dicen que el tiempo todo lo arregla por donde pasa
Pero parece que no tenía la dirección de mi casa
Porque todo sigue igual

Sin ti todo es tan extraño
Todavía sigue tu jabón preferido y tu cepillo en el baño
Por si vuelves, pero no vuelves
Por si regresas, dime por qué no regresas

Te pido una cosa antes de irte
Llama al corazón pa' despedirte

Dile que tú ya no sientes lo mismo por mí
Dile que no estamos juntos y que eres feliz
Dile que hay alguien que llegó a tu vida
Pero ojalá que sea mentira

Porque si es así
Porque si es así
Aunque ya me mataste, me vuelvo a morir"
Pop,Camilo,El Mismo Aire,"Si quieres, bota mis cuadernos
Si quieres, borra hasta mi número del celular
Si quieres, prende con mis cartas
Una fogata, a ver si logras calentar
Lo que no pude con mis besos
Y los abrazos que nunca te supe dar
Pasamos de decir: Te amo
A no poder decirnos: Hola, ¿cómo estás?

Tú y yo
Pasamos de ser todo a nada
De comernos con la mirada
Y ahora estamos frente a frente
Y ni siquiera puedes mirarme a la cara
Vivíamos de boca a boca
Los labios no querían soltarse
Y ahora aquí en el mismo cuarto
No podemos respirar el mismo aire

Llévate el tapete
Llévate mi vida, que agarraste de juguete
Llévate ese par de anillos que nos comprometen
Y aunque no quiera perderte, te diría: Vete
Pero el que se va soy yo
Y cuando me vaya, me llevo el reloj
Pa' llevarme el tiempo que pasé contigo
Que no fue perdido
Todas las memorias las llevo conmigo

Tú y yo
Pasamos de ser todo a nada
De comernos con la mirada
Y ahora estamos frente a frente
Y ni siquiera puedes mirarme a la cara
Vivíamos de boca a boca
Los labios no querían soltarse
Y ahora aquí en el mismo cuarto
No podemos respirar el mismo aire

Si quieres, bota mis cuadernos
Si quieres, borra hasta mi número del celular
Si quieres, prende con mis cartas
Una fogata, a ver si logras calentar

Tú y yo
Pasamos de ser todo a nada
De comernos con la mirada
Y ahora estamos frente a frente
Y ni siquiera puedes mirarme a la cara
Vivíamos de boca a boca
Los labios no querían soltarse
Y ahora aquí en el mismo cuarto
No podemos respirar el mismo aire"
Pop,Camilo,Índigo (part. Evaluna Montaner),"¿Cómo puede ser que uno sueñe con alguien que ni siquiera ha conocido?
No sé si es posible, pero yo llevo ya mucho tiempo soñando contigo

Y cuando la historia parecía completa
Le diste una vuelta de 360°
Tú eres el cincuenta de mi cincuenta
Y ahora todo huele y sabe mejor

Porque llegó a mi vida
El amor de mi vida
Yo se lo pedí al de arriba
Pero contigo se le fue la mano

¡Y qué buena suerte la mía!
Gané sin jugar la lotería
La falta que me hacías
Contigo Navidad llegó temprano

Y lah-rah-lah-lah-lah, lah-lah-rah
Lah-rah-rah-lah, lah-lah-rah
Lah-rah-lah-lah, lah-lah-rah
Lah, lah

Si pienso que vienes, tiemblo como un flan
Para hacer contigo, ya tengo mil plans
Pedacito mío, mi café con pan
Soy el presidente de tu club de fans

Contigo ya no hay martes 13
Prepara el cachete pa' que te lo bese
Y es que lo bueno toma tiempo a vece'
Yo tuve que esperarte nueve meses, yeah

Quiero tenerte muy cerca de mí
Pegados como con pegante
Voy a comprarte unas gafas de Sol
Porque el futuro se ve brillante

Porque llegó a mi vida
El amor de mi vida
Yo se lo pedí al de arriba
Pero contigo se le fue la mano

¡Y qué buena suerte la mía!
(Qué buena suerte) gané sin jugar la lotería
La falta que me hacías
Contigo Navidad llegó temprano

Porque llegó a mi vida (qué buena suerte)
El amor de mi vida
Yo se lo pedí al de arriba
Pero contigo se le fue la mano

¡Y qué buena suerte la mía! (qué buena suerte)
Gané sin jugar la lotería
La falta que me hacías (yeah-yeah-yeih)
Contigo Navidad llegó temprano

Y lah-rah-lah-lah-lah, lah-lah-rah
Lah-rah-rah-lah, lah-lah-rah
Lah-rah-lah-lah, lah-lah-rah
Lah, lah"
Pop,Camilo,La Mitad (part. Christian Nodal),"Si por cosas del destino
Un día tú y yo nos despedimos
Ay, yo no sé qué comería o de qué me reiría
Porque el mundo sin ti no me lo imagino

Si por cosas de la vida
Llega el hombre que por fin te merecías
Y si él es tu alma gemela, yo me quito, aunque me duela
Y hasta dos o tres consejos le daría

No te preocupes por mí
Yo me las arreglaría
Pa' cambiarme de cabeza pa' otra que no sea la mía
Y no pensar en ti, ya no pensar en ti

Y aunque te den el doble de caricias
Y el triple de los besos que te di
Y aunque te den 21 rosas al día
Y mil veces digan que mueren por ti
Ay, si te dan todo eso, me quito el sombrero
Pero nadie va a quererte la mitad
De lo que yo a ti te quiero

No te preocupes por mí
Yo me las arreglaría
Pa' cambiarme de cabeza pa' otra que no sea la mía
Y no pensar en ti, ya no pensar en ti

Y aunque te den el doble de caricias
Y el triple de los besos que te di
Y aunque te den 21 rosas al día
Y mil veces digan que mueren por ti
Ay, si te dan todo eso, me quito el sombrero
Pero nadie va a quererte la mitad
De lo que yo a ti te quiero
De lo que yo a ti te quiero"
Pop,Camilo,Millones,"Tú debes ser ingeniera
Porque qué bien te quedó el puente
Entre tu boca y la mía
Si hubieras sido por mí, ni me atrevería
A haberte dado ese beso
Que me ha cambiado la vida

Tú debes ser cirujana
Porque del pecho me curaste
Lo que a mí me dolía (tú me curaste)
Y me arreglaste el corazón sin dejarme una herida
Dime por qué te entregaste
A quien no te merecía

Por qué yo
Si en este mundo hay millones (hay millones)
Por qué yo
Si tienes tantas opciones (eh-eh)
Dime por qué conmigo (¿por qué?)
Si no tiene sentido (no, no)
Me gusta que cuando hablas de tu futuro
Estoy incluido (yeh)

Por qué yo
Si en este mundo hay millones (muchos, nena)
Por qué yo
Si tienes tantas opciones (millones)
Dime por qué conmigo (¿por qué?)
Si yo no te merezco (no, no, no, no, no)
Porque al hombre perfecto
Yo ni un poquito me le parezco

Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo
Si hay millo-llo-llo-llones
Millones

Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo
Si hay millones
Millones

(Camilo, hmm-mmm)

Por ti, me veo las series que no me gustan (yeah)
Te pido en Uber Eats lo que te gusta (sí)
Y dejo que tú elijas la temperatura (yeah)
Aunque se me congelen el pelo y las uñas

Yeah
Que, yo por ti, todo lo apuesto (todo)
Tú brillas diferente al resto (hmm-mmm)
Para siempre tú tendrás el primer puesto (número uno)

Ay, tú conoces todos mis defectos
Estabas cuando no hubo presupuesto (no, no, no)
Contigo yo me fui a la cima
Tú me subes la autoestima

Y hasta de mis chistes malos tú te ríes
(Jaja-ja-ja-ja-ja)
Tú eres mi porrista, mi cheerleader
(Yeah-yeah-yeah)

Por qué yo
Si en este mundo hay millones (ay, dime por qué)
Por qué yo
Si tienes tantas opciones (hay muchos)
Dime por qué conmigo (¿por qué, por qué?)
Si no tiene sentido (no, no, no, no)
Me gusta que cuando hablas de tu futuro
Estoy incluido (que yo estoy ahí)

Por qué yo
Si en este mundo hay millones (millones mejores que yo)
Por qué yo
Si tienes tantas opciones (más guapos)
Dime por qué conmigo (con más plata)
Si yo no te merezco (no, no, no, no, no)
Porque al hombre perfecto
Yo ni un poquito me le parezco

Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo
Si hay millo-llo-llo-llones
Millones

Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo
Si hay millones
Millones

No, no, no, no, no, no, no
Camilo, hmm-mmm
La Tribu
Yeh-eh-eh
Yeh"
