Genero,Artista,Titulo,Cancion
Reggaeton,J Balvin,"UN DÍA (ONE DAY) (part. Dua Lipa, Bad Bunny y Tainy)","You know that sometimes
I think about us now and then
But I never wanna fall again, ah
Yo no te quisiera olvidar
Pero contigo es todo o na'
Yeh-yeh

You're deep in water, you're drownin' us
You question my love like it's not enough
But I hate that you know, you know, you know
You got me tied up

You regret it now, but it's your mistake
What makes you think that my mind will change?
And you hate that you know, you know, you know
You know you messed up

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door

One day you'll love me again
Hug me again till the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Acércate un poquito, no más
Que yo quiero que te quedes conmigo
Deja a tus amigas allá atrás
Que nos vamos en un viaje escondido'

Nos vamo' pa' Turks &amp; Caicos
Y ahí calmamos las ganas
Suéltate conmigo, mamá
Que ya no hay marcha atrás

Una noche sin ti
No es tan fácil, baby
Que yo soy pa' ti
Y tú eres pa' mí

Nunca me dejes de querer
Oh, na-na-na
Contigo por siempre, baby
No quiero dejarte esta vez

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door

One day you'll love me again
Hug me again till the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Yo sé que estoy en tu corazón, quizás en el fondo
Otras babies me escriben, nunca les respondo (no)
La vida da vuelta' y el mundo es redondo
Y yo voy a que te beso de nuevo en London

O, si no, en Marbella
Encima de la arena, viendo las estrellas
Yo sé que ni las olas han borrado mi huella
Pero tu pichaera es lo que me atropella

Sol (Sol)
Playa y en la arena, vamo' allá
Baby, no te quede' callada
Yo sé que tú quiere' guayar conmigo

Otra vez
Me tienes en depresión
Fumando en la habitación, eh
Pero yo sé que

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door

One day you'll love me again
Hug me again till the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Baby (ay-ay-ay-ay-aye)
One day you'll love me again
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

J Balvin, man
Bad Bunny, baby
Tainy
Latino Gang
La Familia"
Reggaeton,J Balvin,Si Tu Novio Te Deja Sola (part. Bad Bunny),"Yo vivo día y noche pensando en ti
Y tú perdiendo el tiempo con él
Dime dónde estás que yo te quiero ver
Yeeeh

Si tu novio te deja sola
Dímelo y yo paso a buscarte
Sólo me bastaran un par de horas
Y ese cabrón no va a recuperarte

Si tu novio te deja sola
Dímelo y yo paso a buscarte
Sólo me bastaran un par de horas
Y ese cabrón no va a recuperarte

Un culito así no se encuentra en eBay
Este bicho es tuyo
Te lo tengo all night awake
Más ninguna tiene brake
Yo soy un pitcher
Pero a ti te vo’a hacer el doble play

Yo sé que eres fina
Pero en la cama Sasha Grey
Fumando y bebiendo Grey
Lo siento por Casper
Pero J Lo se va con Drake (Drake)
Te llevo pa' New York
Un fin de semana
Un polvo antes de acostarte
Y otro por la mañana
Hay un chorro de bobos
Que te tienen ganas
Pero diles que tú eres del rey como Lana

Yo siempre me maltrato
Viendo tus videos y tu retrato
Dile a tu novio
Que ya se le venció el contrato
Conmigo son de Wax los arrebato
Yeeeh

Si tu novio te deja sola
Dímelo y yo paso a buscarte
Sólo me bastaran un par de horas
Y ese cabrón no va a recuperarte

Si tu novio te deja sola
Dímelo y yo paso a buscarte
Sólo me bastaran un par de horas
Y ese cabrón no va a recuperarte
Yeeeh

Llégale
Siempre sabe cuándo
Y dónde es
Se trajo a otras amigas
Que tienen novio también
(Y también)
Cada que toco en P.R.
Ella suelta su gato
Y cae donde papi
Cuando me extraña
Quiere que le meta
De sorpresa llega a Medellín

Con él siempre pierde
Conmigo win
Te pienso to' el día bien nasty
Mile' de mujeres
Miles en botellas
No hay chimba
Si tú no estás aquí (aquí)
Dile la verdad al bobo ese
Que no le da a los niveles
Y que tire a ver si puede

A tu jevo (A tu jevo)
Avísale (Avísale)
Que este fin de semana
La pasas con todos tus panas
Y no con él
Yo no juego (Yo no juego)
Avísale (Avísale)
Que encontraste reemplazo
Y que espere pa' un rato
(Yeeeh)

Si tu novio te deja sola
Dímelo y yo paso a buscarte
Sólo me bastaran un par de horas
Y ese cabron no va a recuperarte

Si tu novio te deja sola (Bad Bunny)
Dímelo y yo paso a buscarte (El Conejo Malo)
Sólo me bastaran un par de horas (J Balvin man)
Y ese cabrón no va a recuperarte

A tu jevo (Mambo Kingz)
Avísale (Hear This Music)
Que este fin de semana (DJ Luian)
La pasas con todos tus panas
Y no con él
Yo no juego
Avísale
Que encontraste reemplazo
Y que esperes pa' un rato"
Reggaeton,J Balvin,LA CANCIÓN (part. Bad Bunny),"Yeh, yeh
Yeh

Pensaba que te había olvidado; eh
Pero pusieron la canción; eh-eh-eh
Que cantamos bien borrachos
Que bailamos bien borrachos
Nos besamos bien borrachos, los dos

Pensaba que te había olvidado; eh
Pero pusieron la canción; eh-eh-eh
Que cantamos bien borrachos
Que bailamos bien borrachos
Nos besamos bien borrachos, los dos
Pensaba que te había olvidado

Justo cuando creía
Que por comerme a dos o diez, te olvidaría
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía

Nunca lo superé (no), nunca te superé (no)
Hasta me aprendí todas las baladas en inglés
Respiré y conté hasta tres (uno, dos, tres)
Eres la fantasía oscura de Kanye West, bebé

Hace tiempo lo barato me salió caro
Yo solo twitteo, balas locas disparo
¿Cómo olvidar la bellaquera en el carro?
A que guió solo

Pensaba que te había olvidado (pero no); yeh
Pero pusieron la canción; yeh-yeh
Que cantamos bien borrachos
Que bailamos bien borrachos
Nos besamos bien borrachos, los dos

Pensaba que te había olvidado; ey
Pero pusieron la canción; yeh, yeh
Que cantamos bien borrachos
Que bailamos bien borrachos
Nos besamos bien borrachos, los dos; ey-ey

Y hace tiempo
Que no venías a mi cabeza
Pero ya va un par de cervezas
Y me acordé de cómo tú me besas
De todos los polvos encima de la mesa

Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las veces que tu mai' nos llegó a coger
Tú brincando mojadita, sudando Chanel

Yo sé que lo nuestro es cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner

Y me acordé de ti
Cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque

Pensaba que te había olvidado; ey
Pero pusieron la canción; yeh, yeh
Que cantamos bien borrachos
Que bailamos bien borrachos
Nos besamos bien borrachos, los dos

Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimientos, el corazón desierto

Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimientos, el corazón desierto"
Reggaeton,J Balvin,"Poblado (remix) (part. Karol G, Nicky Jam, Crissin, Totoy El Frio y Natan &amp; Shander)","Kapital Music
(¿Aló?)
(Ya estoy en Medallo, mor)
Colombia gang, gang
(Te veo en El Poblado, pues)
Remix

En un PH, en El Poblao’, me la comía
De ella me quedé enchulao’, yo no sabía
Hicimos poses que, en verdad, desconocía
Esa noche no la he olvidao’ (this is the remix)

Le compré unos panty Moschino pa’ que modele (leggo)
Y un perfume Bond
¡Ay, qué rico huele! (latino gang, gang)
Ese culito es mío, ya yo tengo los papelе’
Encerrado
En un PH en El Poblado (this is thе remix)

Le compré unos panty Moschino pa’ que modeles
Y un perfume Bond
¡Ay, qué rico huele! 
Ese culito es mío, ya yo tengo los papele’
Encerrao’
En un PH en El Poblado

Yeah, yeah

Yo nunca le altero el pH
Te quiero en cuatro pa’ que grite’: Oh, shit
Se me cayó el lápiz, baby, quiero que te agache’
Si le jalo el pelo, no importa si estoy muy guache
Ella solo disfruta de mi PH

Baby, baby honey
Ella quiero sexo, no quiere money
Pa’ ella la vida es un rollin’, haciendo el amor por hobby
Su novio tiene cara ‘e enfermo, ese hijueputa tiene COVID
Y yo soy eterno como Kobe

Tú está’ en mi penthouse y ella’ están en el lobby
Aquí no te joden, si tú juega’, quedan en game over
Si me voy a tu casa, soy amigo de tu brother
Y dile que aquí somo’ cantante’, que no hacemos covers

Que soy el que la desvisto
Le compré unos pantis de una marca que tú nunca has visto
Agresiva cuando se lo meto
Y vamo’ a subir el blackout pa’ ver El Poblao’ completo

Y si tú tiene’ los papele’ en este culo
Porque has pagao’ caro, yo facturo
Panticito Moschino y pa’l oscuro 
Y yo prendo el bareto y lo circulo (bebé)

Dale, ponte las bota’ y en la nota
Vamo’ azota estas nalgota’
Tengo que sudarla gota a gota
Y, en Colombia, to’ me gritan: mamasota

Un chin
Todo’ quieren un chin (papi)
Es la nena de Medellín
Los que ven me ven y dicen: ¡Qué chimba, Karol G!
(Karol G)

Eh, un chin
Todo’ quieren un chin
Bailando, ando por Medellín
Este booty que tenemo’ brinca como trampolín

Le compré unos panty Moschino pa’ que modele
Y un perfume Bond
¡Ay, qué rico huele! 
Ese culito es mío, ya yo tengo los papeles
Encerrao’
Con este hijueputa en El Poblado 
(J Balvin, man)

En el cuarto, bebé, la ciudad no se ve
Fija en el balcón pa’ que la vista le dé
Media violenta, quiere que la cacheteé
En un PH con esta HP

¡Qué rico le huele ese Bond!
Y no es solo perfume, abajo le huele a jabón
La niña no fuma, pero quiere prender un blunt
Dos días encerrao’, esto parece un maratón

Tiene novio, por eso no quiere comprometerse
Pero él no le da así como yo le doy
Le compré un juguete pa’ que cuando él no esté, me piense
Y también

Me compró unos panty Moschino pa’ que modele
Y un perfume Bond
¡Ay, qué rico huele! 
Todo el culito mío, ya yo tengo los papeles
Encerrado'
En un PH en El Poblado
(Ya tú sabe’ cómo va)

La encerré en mi PH, le compré un ACH
Ella nunca pichea porque yo soy un cacher
La dejé moja’íta, vuelta flow Triple H, eh, eh

Te canto El Perdón y te hago travesura’
Con ese culo, voy a la segura
Te juro, baby, tú ere’ la más dura
Y tú estás

Loca, loca, loca con el Nicky-Nicky
Perrea desde los tiempos de Wiki Wiki
No acabamo’ y ya quiere montar el repeat
Nunca me dice que no, siempre: claro que sí

Loca con el Nicky-Nicky
Perrea desde los tiempos de Wiki Wiki
No acabamo’ y ya quiere montar el repeat
Nunca me dice que no, siempre: claro que sí

Na-na-nadie se imagina cómo tú y yo nos comemo’
Viendo las estrella’, nos enloquecemo’
Toda’ las botella’
Nos las bebemo’
Los dos encerrao’, lo hacemo’ y prendemo’

Le gusta el reggaetón
A mí su perfume Bond
Quiero que me modele’ y te grabe’ con el phone
Moviendo ese culo, baby, tienes el don
Pa’ pedir permiso, mejor pido perdón

Me tiene enviciao’, wao, wao
Encerrado en el penthouse, wah, ah-ah-ao
Con la vista de El Poblao’, ah-ah-ah
En el jacuzzi vo’a meterte
Profundamente conocerte

Le compré unos panty Moschino pa’ que modele
Y un perfume Bond
¡Ay, qué rico huele! 
Ese culito es mío, ya yo tengo los papele’
Encerrado
En un PH en El Poblado

Me compró unos panty Moschino pa’ que modele
Y un perfume Bond
¡Ay, qué rico huele! 
Todo el culito mío, ya yo tengo los papeles
Encerrado'
En un PH en El Poblado

Yeah
Crissin
Karol G
Totoy El Frío
Natan y Shander (Colombia está)
J Balvin, man
Ey
Nicky-Nicky-Nicky-Nicky-Nicky Jam, yo’, ey
Natan y Shander Los Bro
This is the Remix
Alex The Big Pieces
Fénix
La Industria Inc.
Puerto Rico y Colombia
SOG Music
(Sky Rompiendo, Rompiendo El Bajo)
(Yah)"
Reggaeton,J Balvin,"Ahora Dice (Remix) (part. Ozuna, Arcángel, Anuel AA, Cardi B y Offset)","Real Hasta La Muerte ¿oí'te bebé?
Tú no quieres saber na' de mí (uhh, nana)
Dime qué fue lo que yo hice mal (dime qué pasó)
Te pusieron en contra de mí (uhh, nana)
Pero es peor pedir perdón que perdonar
Se murió una flor y cambió de color (yeh-ieh)
Tú eras mi diabla, yo te daba calor
Fumando pa' olvidarte, pa' matar el dolor
Y a veces quiero morirme, pero nadie ha muerto de amor

Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos (leggo')
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cuando lo hacíamos
Cuando en la cama nos matábamos

Te dejaste manipular, tú no sabes amar
Tú dices que tú me odias, pero tú no me va' olvidar
Sabes que tus piernas, yo te las pongo a temblar
Yo te devoraba, y tú empezaba' a gritar
Si se mueren, en la muerte traicionan, te aman, se van y te odian
Y en la muerte es como la personas que te dejan sola después que te lloran
Hablando con la luna, como un lobo buscando a su loba
Buscando al demonio, que te está devorando en su alcoba
Hablándote mal de mí
Como si yo ya me morí
Dile a ese infeliz que te la coma como yo te la comí
Y que te haga mojarte como yo te hice venirte
Tú dijiste que encima 'e mi cuerpo tú más tú querías morirte, yeh

Sólo yo he podido llegarle
Tu cuerpo sabe elevarse
Y cuando tus piernas temblaban
No decías nada, nada, no, no

Yo sé que nuestro amor es periódico de ayer
Tú crees que es fácil mirarte a la cara y que me diga'
Ya no, no te conozco, pues 'tá to' bien
Tarde o temprano el karma a ti te va a caer, vas a volver
Sólita yo sé que vas a caer
Va a volver a llamarme pa' que te lo vuelva a hacer
Ay nena, no trate', que no me voy a envolver
Porque dicen, y yo creo, que Lucifer es mujer

Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos

You ain't cherish shit when you had it
Turn me back to a savage
Grab your stuff while you at it
Now my heart is cold as my Patek, uh
Man, I guess you feel away now
See me on the way up, you on your way down
You had you a ten, but now you a dub
You ain't here, but you wishing you was
You gon' miss grabbing this ass
Now you can miss me with them subs
You don't gotta check on me 'cause I got a check on me
I don't need nothing from nobody, not you especially
And you know that I'm the baddest, Cartier glasses, Fendi fabric
And I'm years away from basic, and I'm miles away from average
But, one thing ain't adding up to me
How you gon' mess with a bitch that look up to me, off

I cannot let up (let up)
Hug me like a Gucci sweater (sweater)
Ain't nobody drippin' wetter (drippin')
I took the time to write a letter (I took the time)
We worked hard out the ghetto
I don't deserve your heart, know you fed up (nah)
We both had a broken heart when we met up
Your body a piece of art, you don't sell it
You know that I miss it, I just wanna kiss it
I scroll through the phone, lookin' how we would kick it (kick it)
Knock at the door, it's a visit
She take that shit off then I fuck in the kitchen (smash)
His and hers, Mr. And Mrs. (hey)
When I talk to her baby girl listens (listen)
I had a dream and you was in it (dream)
When you gone, I feel like I been sinnin'
Come back, come back, come back (come back)
You not really rich, got the bomb pack (bomb)
Dive in the water, have fun with that (dive)
I might put a daughter or son in that (I might)
I bought you a ring and five hundred racks (hey)
She like the triangle Balenci bag (drip)
You know you an angel, come save the bad (angel)
If you really love me then take me back

J Balvin, men
Yo sé que nuestro amor es periódico de ayer
Tú crees que es fácil mirarte a la cara y que me diga'
Ya no, no te conozco, pues 'ta to' bien
Tarde o temprano el karma a ti te va a caer, vas a volver
Los dos, sólita yo sé que vas a caer
Va a volver a llamarme pa' que te lo vuelva a hacer
Ay nena, no trate', que no me voy a envolver
Porque dicen, y yo creo, que Lucifer es mujer

Y ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos

¡Uh!
Ahora dice, ahora dice
Ahora dice, ahora dice, ahora dice"
Reggaeton,J Balvin,Perra (part. Tokischa) [explícita],"Loco calla'o
No ando ladrando
Una mala en calor
Es lo que yo ando buscando

Vamo' a encastarno' como perro' viralata
Soy perra callejara con la popola de raza
Te come' este Purina, vamo' pa' la perrera
Quedémono' enganchao' en medio de la carretera (ey, ey, ey)

Yo soy una perra en calor
Estoy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor
Que está buscando un perro pa' quedarte pegá'

Yo soy una perra en calor
Estoy buscando un perro pa' quеdarno' pegao'
Ey, eres una pеrra en calor
Que está buscando un perro pa' quedarte pegá' (ey, ey)

Cuida'o, que este perro anda sin bozal (miau)
No me puse la vacuna, esta noche estoy animal
Con rabia, parcero, fue que la salpiqué
Bajamo' trucho de Colombia pa' RD

Loco calla'o
No ando ladrando
Una mala en calor
Es lo que yo ando buscando

Te pongo en cuatro pata'
Tú ere' perra, no ere' gata (miau)
Sé que ere' wa-wa-wa
Pero no ere' viralata

Tú ere' raza rulay, bebé, Jumbo light
Te ladro al DM y de una me cae'
Te freno en Lo' Mina' y te llevo a Dubái
Me encasto contigo hasta en Washington Height'

Yo, yo (popola de), yo (po-), yo (popola de)
Yo, yo (popola de), yo (po-), yo (popola de)

Yo soy una perra en calor
Estoy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor
Que está buscando un perro pa' quedarte pegá'

Yo soy una perra en calor
Estoy buscando un perro pa' quеdarno' pegao'
Ey, eres una pеrra en calor
Que está buscando un perro pa' quedarte pegá'

Vamo' a encastarno' como perro' viralata
Soy perra callejara con la popola de raza
Te come' este Purina, vamo' pa' la perrera
Quedémono' enganchao' en medio de la carretera

Estoy en celo, estoy en calor
Yo me abro en cuatro pata', métanme un ventilador
Vamo' pa' Colombia, capear blune' de sabore'
Pa' cuando te arrebate', la leche salga en colore'

Me pusieron un bozal porque estoy muy animal
Tengo la rabia canina, calentura vaginal
Me tiene que castigar y me tiene que enjaular
Porque esa perrita puppy siente Lassie, wa-wa-wa

Yo soy una perra en calor
Estoy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (ajá)
Que está buscando un perro pa' quedarte pegá'

Yo soy una perra en calor
Esoy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (ajá)
Que está (perra) buscando un perro pa' quedarte pegá'

Mmm
Tokischa, Tokischa
Paulus Music
Leo, Leónidas Trujillo
De los gandules pa' Colombia
Latino gang
J Balvin, man (¡ah!)
Mmm (perra, perra)
Leche, leche (perra, perra)"
Reggaeton,J Balvin,"Safari (feat. Pharrell Williams, Sky and BIA)","A ella le gus-
A ella le gus-
A ella le gus-
A ella le gusta
A mí me gusta
A ella le gusta
Bailar pa mi
A ella le gusta

Mami mami con tu body (a mí me gusta)
Este party es un safari (a ella le gusta)
Todos miran como bailas (a mí me gusta)
Hoy tu andas con un animal (a ella le gusta)

Mami mami, con tu body (a mí me gusta)
Este party es un safari (a ella le gusta)
Todos miran como bailas (a mí me gusta)
Hoy tu andas...(a ella le gusta)

Baila pa mi

Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)
Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)

Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)
Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)

Todo ese cuerpo que tú tienes me vuelve loco
Y más cuando bailas pa’ mi
Esa mirada provoca y tu toda loca
Te muerdes los labios cuando suena el bet

Oye papi vamos con mis amigas para el party
Tengo algo por un animal
Cuando mi gente está aquí hay tsunami, wavey
Así es lo que me gusta
You know I like it when refresco
Me llamo princesa
Voy a coger provecho
Lo que me gusta
You know I like it when refresco
Me llamo princesa
Voy a coger provecho

A ella le gusta
A mi me gusta
A ella le gusta
A mi me gusta
Bailar pa mi
A ella le gusta

Mami mami con tu body (a mí me gusta)
Este party es un safari (a ella le gusta)
Todos miran como bailas (a mí me gusta)
Hoy tu andas con un animal (a ella le gusta)

Mami mami con tu body (a mí me gusta)
Este party es un safari (a ella le gusta)
Todos miran como bailas (a mí me gusta)
Hoy tu andas...baila pa mi (a ella le gusta)

Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)
Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)
Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)
Vente conmigo (a mí me gusta)
Sola conmigo (a ella le gusta)

Saca la fiera que llevas ahí
Ese instinto salvaje que me gusta
Cuando se pone de espaldas y empiezo mirarla
La tela me rasga y seguimos aquí

Oye papi vamos con mis amigas para el party
Tengo algo por un animal
Cuando mi gente está aquí hay tsunami, wavey
Así es lo que me gusta
You know I like it when refresco
Me llamo princesa
Voy a coger provecho
Lo que me gusta
You know I like it when refresco
Me llamo princesa
Voy a coger provecho

A ella le gusta
A mi me gusta
A ella le gusta
A mi me gusta

A ella le gusta
A mi me gusta
A ella le gusta
A mi me gusta"
Reggaeton,J Balvin,Ay Vamos,"Cuando no la llamo
Siempre me hace reclamos
Discutimos peleamos
Pero llego a casa en la noche
La molesto y arreglamos

Ah ah ah, ah ah ah
Peleamos, nos arreglamos
Nos mantenemos en esa pero nos amamos
Ay vamos
Ah ah ah, ah ah ah
Qué pena me daría
No tenerte en mi vida, vida mía, mami
Ah ah ah, ah ah ah
Peleamos, nos arreglamos
Nos mantenemos en esa pero nos amamos
Ay vamos
Ah ah ah, ah ah ah
Qué pena me daría
No tenerte en mi vida, vida mía
(Ay vamos)

No importa si estás lejos
Siempre te siento presente
Y estoy pendiente de tí frecuentemente
Cuando estoy en la calle
Resolviendo mis problemas
Es pa' nuestro futuro
Yo no sé por qué me celas
No soy un santo
Tampoco ando en cosas malas
Cuando no estoy contigo
Es porque ando con mis panas
Somos polos opuestos
Y por eso nos gustamos
Qué más le vamos a hacer
Si así nos enamoramos
Y ahí vamos

Ah ah ah, ah ah ah
Peleamos, nos arreglamos
Nos mantenemos en esa pero nos amamos
Ay vamos
Ah ah ah, ah ah ah
Qué pena me daría
No tenerte en mi vida, vida mía, mami

Todos los días yo la tengo que ver
Así peleemos primero mi mujer
Mami, no me celes tanto
Que yo siempre me conmuevo con tu llanto
Nena, nena, tranquilícese
Que en la calle a nadie besé
Yo solo tengo ojos pa' usted
Relájate, despreocúpate
Nena, nena, tranquilícese
Que en la calle a nadie besé
Yo solo tengo ojos pa' usted
Relájate, despreocúpate
Que ahí vamos

Ah ah ah, ah ah ah
Peleamos, nos arreglamos
Nos mantenemos en esa pero nos amamos
Ay vamos
Ah ah ah, ah ah ah
Qué pena me daría
No tenerte en mi vida, vida mía, mami
Ay vamos

Nena, nena, tranquilícese
Que en la calle a nadie besé
Nena, nena, tranquilícese
Que en la calle a nadie besé"
Reggaeton,J Balvin,Qué Más Pues? (part. Maria Becerra),"(¿Qué más pues?)
(¿Cómo te ha ido?)
J Balvin, man

¿Qué más pues? ¿Cómo te ha ido?
¿Sigues soltera o ya tienes marido?
Sé que es personal, perdona lo atrevido
Te pedí de Navidad y Santa no te ha traído

Pero ¿qué más pues? ¿Qué ha habido?
Te perdí el rastro por distraído
La fama de esto me tiene jodido
Pero no me olvido de lo sucedido

Regálame otra noche, quiero verte
Que hay que aclarar par de cosas pendientes
Ma', ¿qué es lo que? ¿Dónde estás?
Dime, a ver, que yo voy, voy (Lady, Lady)

Me perdiste de vista
Ahora es con otro con quien vacilo en la pista (ey)
Ay, José, no me insistas
Das muchas vueltas, pareces motociclista (baby)

Ninguna con este porte
Tengo este booty sin hacer deporte
Nada hace que me importe
Porque mi brújula ya cambió su norte

Cambió desde que te fuiste tú
Papi, eso lo sabes muy bien
No me vengas con esa actitud
Que esa la conozco yo también

No, no, no, no soltera para ti, no, hey
Yo soltera para ti no
Se acabó lo que esa noche nos dimos, hey
Lo que esa noche nos dimos

Pa', ¿qué es lo que?
Sé que quieres saber
Dónde estoy
Hoy

Dime, mai', ¿qué es la que hay?
Esos Nike te quedan nice (wow)
De tu clase, ya pocas hay
Ninguna cabe en tu size

Saca un rato
Que estás sola, ya me dieron el dato
Dame el pin, yo te caigo de inmediato
Ellos intentan y yo ni trato

Baby, esto ya es otra liga
Pero tú estás por encima, ey
Vamos a hacerlo
Aprovecha el clima

Tú estás bien diva
Y ese cuerpo que motiva, baby
Vamos a hacerlo
Que está rico el clima

¿Qué más pues? ¿Cómo te ha ido?
Tú sigues siendo el mismo engreído
Nada personal, pa' novio no has nacido
Y tuviste mucho tiempo, fuiste distraído

Y ahora, ¿qué más pues? Me he ido
Ya es suficiente lo que tú has comido
Aunque no aparezcas, esto me ha dolido
Y de lo pasado, yo no me olvido

Regálame otra noche, quiero verte
Que hay que aclarar par de cosas pendientes
Ma', ¿qué es lo que es? ¿Dónde estás?
Dime, a ver, que yo voy, voy

Regálame otra noche, quiero verte
Que hay que aclarar par de cosas pendientes
Ma' (Pa'), ¿qué es lo que es?
¿Dónde estás? Dime a ver (sé que quieres saber)
Que yo voy (dónde estoy), voy (hoy)

(Solo a ti te llamé en agosto, apareciste en enero)
(Tú de vacacione' en Boston y otro apareció primero)
(Y me está' empalagando y eso que no es golosino)
(Tú mucho me estás mirando y eso que no soy vitrina)"
Reggaeton,J Balvin,Mi Gente (part. Willy William),"Si el ritmo te lleva a mover la cabeza
Ya empezamos como es
Mi música no discrimina a nadie
Así que, vamos a romper

Toda mi gente se mueve
Mira, el ritmo, cómo los tiene
Hago música que entretiene
El mundo nos quiere, nos quiere
Y me quiere a mí

Toda mi gente se mueve
Mira, el ritmo, cómo los tiene
Hago música que entretiene
Mi música los tiene, fuerte, bailando
Y se baila así

Estamos rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme ci, c'est comme ça
Ma chèrie, la-la, la-la-la

Francia, Colombia
Me gusta (freeze!)
J Balvin, Willy William
Me gusta (freeze!)

Los DJ's no mienten, le gusta a mi gente
Y eso se fue mundial (freeze!)
No le bajamos, y nunca paramos
Es otro palo y ¡blam!

¿Y dónde está mi gente?
(Mais il faut bouger la tête)
¿Y dónde está mi gente?
Say yeah, yeah, yeah
1, 2, 3, leggo'
(Ay, di que sí)

Esquina a esquina, de ahí no' vamo'
El mundo es grande, pero lo tengo en mi mano
Estoy muy duro, ¿sí? Okay, ahí vamos
Y con el tiempo nos seguimos elevando

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo

¿Y dónde está mi gente?
(Mais il faut bouger la tête)
¿Y dónde está mi gente?
Say yeah, yeah, yeah
1, 2, 3, leggo'
(Ay, di que sí)

(Worldwide)
(Willy William)
(J Balvin, man)"
