Genero,Artista,Titulo,Cancion
rock,albertucho,alimaña pasajera,"De vuelta al goterón,que la injusticia da
amargo rastro lento
que recuerda quien son los buenos

Y el parpadeo brutal
de los ojos que ven la verdad
recuerdos, recuerdos del ayer
que vuelven, que vuelven a estorbar

Y mi sangre sigue siendo sangre buena a medias
y el traje de lobo con los años aunmenta y se puebla de niebla
y el sudor que deshidrata las bellas conciencias
es fruto del calor que desprendes alimaña pasajera

De nuevo el marear
de las vueltas que la vida se dispone a dar
me quedo pasmao, me lo fumo doblao
y sigo malgastando las horas
y canto, y canto por cantar

Y ay,ay,ay,ay,ay que es mentira lo que dibujas en mis oidos, y lo se
y que me entra la risa tonta y a la vez que bloqueas mi persona, y a la vez que bloqueas, y a la vez que bloqueas mi personalidad.

Y mi sangre sigue siendo sangre buena a medias
y el traje de lobo con los años aumenta y se puebla de niebla 
y el sudor que deshidrata las bellas conciencias
es fruto del calor que desprendes alimaña pasajera

Y mi sangre sigue siendo sangre buena a medias 
y el traje de lobo con los años aumenta y se puebla de niebla
y el sudor que deshidrata las bellas conciencias 
que son fruto del calor que desprendes alimaña pasajera
pasa pasajera pasajera pasa pasajera, pasa pasajera...."
rock,albertucho,asi me va,"sabiendo que un luto sin nombre ni aroma
se asoma,me doma y me da de pensar
brotando en el tiempo jugando al acierto
señora un respaldo de ausencia en mi realidad aaaaaah

lo bueno del tiempo se queda en los besos
lo besos q aporto y no me quedo igual
igual respondiendo preguntas que ofendo
yo se que no tengo intelecto
para discutir con listillos y necios

yo digo mi nombre,
te canto,
y si quieres... te vas

y asiiiiiiiii me vaaaaaaaaaaaaaaa
y asiiiiiiiii me vaaaaaaaaaaaaaa

viviendo del folio del presentimiendo
de q algo bonito esta x llegar
rezando a la muerte de los presidente
creyendo en la buenga gente y poco mas....

y asiiiiiiiii me vaaaaaaaaaaaaaaa
y asiiiiiiiii me vaaaaaaaaaaaa

roto el bendaje, soltando el lastre
con mi sonrisa y mi cara de pan
te enseño mi melodia y asi me va...

y asiiiii me vaaaaa

pedazo de cielo,
en la cuadra de cuerdo
descanso entre locos 
q viene y van
susurro de aliento que pise el siento
malditos cimientos que callan para otorgar
roto el bendaje soltando lastre
con mi cuarto de chope y mi barra de pan
me hago el bocadillo y asi me vaaaaaaaaaaaaa

y asi me vaaaaaaaaaaaaaaaaaaa
y asiiiiiiiii me vaaaaaaaaaaaaaaaaaaaaaaaa"
rock,albertucho,basura en la que nacen flores,"Exiliado de mi vida 
nutrir me quiero de prosa, 
soy axioma inútil, 
rosa que florece compartida. 
Si no sé pues me lo invento, 
igual que invento canciones. 
Soy basura y sentimientos, 
basura en que nacen flores. 
Mi más ínfima neurona escupe cuando amarga el viento 
y en tinta dibujo y no miento lo que mandan mis hormonas, 
quizás aprenda algún día y no haga falta inventario 
Río que lleva mi saliva se desborda reventando 
pues sin avisar me inunda, y el unicornio de Silvio 
me hace anotar mi delirio, ¡machacármela sin funda! 
Exiliado de mi vida 
nutrir me quiero de prosa, 
soy axioma inútil, 
rosa que florece compartida. 
Si no sé pues me lo invento, 
igual que invento canciones. 
Soy basura y sentimientos, 
basura en que nacen flores."
rock,albertucho,cristal ahumado,"La guardo al fondo entre amor acorralada 
y la paciencia mi voz y mi aliada 
mantiene al margen tu vida y tus palabras 
ya no me afecta canalizar la rabia 
y en tinta escupo todo lo que haga falta 
el mal restauro tus gritos me hacen llagas 
si soy pasivo, me alegro por tus prisas 
pues yo me quedo encerrado en tus caricias. 

Mal, canto pero está de más 
corto tiempo ha de pasar para así poder soñar con que me digas la verdad 
es que no se de que hablar 
te repito el cuento, el odio voy a desterrar. 

Frágil y ausente encuentra mi presencia 
yo no mastico las sobras que me ofrezcan 
puedo quebrarme con un verbo inadecuado 
más que con todas las hostias del pasado 

Cristal ahumado, no me interesa el otro lado 
pues llega solo, ni tarde ni temprano 
romper la vida, mi conciencia y a patadas, 
salir volando con unas nuevas alas. 

Mal, canto pero está de más 
corto tiempo ha de pasar para así poder soñar con que me digas la verdad 
es que no se de que hablar 
te repito el cuento, el odio voy a desterrar. 

Mal, canto pero está de más 
corto tiempo ha de pasar para así poder soñar con que me digas la verdad 
es que no se de que hablar 
te repito el cuento, el odio voy a desterrar."
rock,albertucho,descuida,"Descuida, que me queda más saliva para hundirte en mi desdicha y enseñarte las heridas respirar, 
y no asustes al que viene rojo como las dos rosas que te traigo pero ojito que espinan, 
y no quiero que la sangre que derrames me salpique. 

No es vida, ensancharse mis pulmones para hincharme los cojones 
y eres, siempre la mejor de las personas que ha pasado por mi estima 
me regalas los detalles, me conoces hasta ser destructiva 
que el destino lo domino y así te incluyo en mi vida. 

Añora, ese tiempo en el que el viento era el dueño de tu pelo ahora soy yo el que lo soba y doma, 
aunque carezcas de espuelas el caballo que desboca y que se pierda en tu cabeza. 

No es vida, ensancharse mis pulmones para hincharme los cojones 
y eres, siempre la mejor de las personas que ha pasado por mi estima 
me regalas los detalles, me conoces hasta ser destructiva 
que el destino lo domino y así te incluyo en mi vida. 

Sufre por nada, 
verás como estallas, 
cobarde, hace tiempo me cago por patas 
para relojes que oprimen y encogen sabes que eres mi única hada, 
que viste de luces mi oscura mirada 
y todas las noches ofrece su cama. 

Si sangras y te encuentras a mi lado llámame que yo me empapo y anestesio tus dolores con el polen de las flores."
rock,albertucho,el pais de los televisores,"Aquel día me levanté más rápido de lo normal 
Sentí en mi craneo el aire correr 
Libre y transparente 
Las leyes de toda materia se reían de mi 
Y mi hueca chola allí estaba 
Flotando la ví 

Me puse un sombrero de a kilo 
Y cuatro ladrillos ataos 
Corrí transeunte perdido de mí con preocupación 
Y entrando en el ambulatorio 
Me encontré al doctor 
Mire usted, que mi cabeza no pesa 
Y esto qué coño es? 

Está usted hueco, me dijo 
Que le han sacado con una jeringuilla 
Lo que usted pensaba del mundo 
Yo le diré quién ha sido 
Han sido los presentadores 
Que tienen a su cerebro prisionero 
En el país de los televisores 

Y caminito por la carretera vieja 
Que va pa Dos Hermanas 
Y a la altura la curva Los Picolos 
Me encontré con un programa 
Le pedí por favor 
Que me diera y una explicación 
Que mi cabeza tiraba parriba 
Y los ladrillos pesaban un montón 

Pero él me preguntó 
Por una gran cifra de billetes 
Si fulano y mengano se habían divorciao 
O estaban casaos, o yo qué coño se! 

Que yo estoy hueco, le dije 
Que me han sacado con una jeringuilla 
Lo que yo pensaba del mundo 
Yo le diré quién ha sido 
Han sido los presentadores 
Que tienen a mi cerebro prisionero 
En el país de los televisores 

Y sigo vagando entre Utrera y Alcalá 
Y poco a poco los ladrillos voy quitando 
Y que la cura no era que no era tan complicá 
Dejé la televisión 
Y como el que deja el tabaco 

Ya no estoy hueco y mis ojos 
No miran al mismo punto más de dos segundos 
Y arrancandole huellas al mundo 
Y dejando que mi mente explore 
Por montañas y por callejones 
Y al entrar me limpié en la bandera 
Del país de los televisores 
Y al entrar me limpié en la bandera 
Del país de los televisores"
rock,albertucho,el pisito,"No me digas que te puedo defraudar 
no me digas que me encierro en mis adentros 
y que atento a la verdad 
que con esas palabritas que hago caminar 
quiero ponerte un pisito y justo arriba de un bar 

Quiero ponerte un pisito y justo arriba de un bar 
pa ir cogiendo ya esperienza en las labores del hogar 
y follar los dos juntitos y tenerme que levantar 
porque fruto de tu olvido, te has dejao abierto el gas 

Quiero, tener techo pa vivir 
ratonera de mis sueños, en mi cuarto el mundo entero 
y un florero de jardín. 

Quiero ponerte un pisito y justo arriba de un bar 
pa cuando me hablen de Dioses yo bajarme a papear 
porque nunca me ha gustao arrodillarme a rezar 
yo ya le rezo a mi niña pa que me deje ir al bar 
porque aunque no sea virgen, yo la tengo en ul altar 

Quiero, tener techo pa vivir 
ratonera de mis sueños, en mi cuarto el mundo entero 
y un florero de jardín. 
Quiero, tener techo pa vivir 
ratonera de mis sueños, en mi cuarto el mundo entero 
y un florero de jardín."
rock,albertucho,el ángel de la guarda,"La otra noche hable con mi ángel de la guarda, me contó que ya era libre, que ya no podía rezar. 

El me preguntó que qué coño me pasaba, 
que arrojaba pensamiento de desilusión fatal. 

Luego se acerco me agarró de la mirada, 
me escupió en toda la cara y cantaba sin parar: 

Ya vuelvo a estar solo, mi dueño no tiene amo, ya soy libre de pecado, y ahora soy un ángel más. 
Que desilusión cuantos muertos han quedado 
de los que ahora siguen vivos y no paran de rezar. 

Yo me marchite, me pudrí como un cadaver, 
como una pobre alma en pena que sin ángel se quedó. 
Ahora quedo yo, solo un cuerpo y una mente 
que sin dios ni fe presente sigue pidiendo perdón. 

Ya vuelvo a estar solo, mi dueño no tiene amo, ya soy libre de pecado, y ahora soy un ángel más. 
Que desilusión cuantos muertos han quedado 
de los que ahora siguen vivos y no paran de rezar."
rock,albertucho,frio,"Frío que soldando mis huesos me quema, 
frío que en escarcha convierte mis penas, 
frío de la angustia de la mala hierba, 
que aunque arrancada no muere y se extiende 
va acentuando en mil partes lo malo que encuentre. 
Frío que defeca en mi espalda y me miente, 
frío que caduca en cuanto hay esperanza 
sucio se vuelve y comienza a buscarme, 
nunca lo pierdo, lo llevo en la sangre. 
Pena caída del arbol de nadie, 
viento y relente de lo insoportable. 
Todo se escapa, 
mi amor se hace el interesante. 
Y éste es el frío que amenaza, 
que se esconde en la desgracia del que nunca sentirá, 
y es el mismo que magulla, 
que se infecta en la certeza 
y da la mano a la verdad. 
Llego nadando a un charco estresante, 
desde la orilla distingo al de antes, 
nadie se escapa del frío que envenena, 
no es redundancia, es verdad verdadera. 
Siempre la pena, merece la pena. 
Y éste es el frío que amenaza, 
que se esconde en la desgracia del que nunca sentirá, 
y es el mismo que magulla, 
que se infecta en la certeza 
y da la mano a la verdad. 
Y éste es el frío que amenaza, 
que se esconde en la desgracia del que nunca sentirá, 
y es el mismo que magulla, 
que se infecta en la certeza 
y da la mano a la verdad."
rock,albertucho,la carta,"Corazón en víspera de lo que tú quieras, 
celos arraigados a mis carreteras, 
miedo del acorde de lo prioritario, 
tímpanos ausentes, boca de castigo y amor de calvario. 
Duelo de titanes sin somier ni almohada, 
el toque de queda de mis madrugadas, 
toda mi cabeza, menos la que piensa, 
es dueña y señora de la incontrolable que se pone tiesa. 
Marquesa de Sade, pintando un futuro 
de amor de entretelas, comiendo pan duro. 
Toda compañía en presente y futuro, 
vieja y arrugada, mirando Granada desde el Albaicín. 
Todo lo que quiero lo lleva esta carta, 
que mi amor demanda y está por venir. 
Corazón en víspera de lo que tú quieras, 
quítame dos tonos, dame primavera."
