,Genero,Artista,Titulo,longitud_cancion,diversidad_lexica,verbos_unicos,adjetivos_unicos,sustantivos_unicos
0,pop,Shakira,Waka Waka (Esto Es África),193.0,0.3679,0.1036,0.0363,0.1036
1,pop,Shakira,Gitana,94.0,0.5426,0.2766,0.0532,0.1596
2,pop,Shakira,"Te Aviso, Te Anuncio (Tango)",97.0,0.5361,0.2062,0.1134,0.1237
3,pop,Shakira,Addicted To You,95.0,0.5895,0.1368,0.1368,0.2632
4,pop,Shakira,Monotonía (part. Ozuna),70.0,0.6857,0.2857,0.0857,0.1571
5,pop,Shakira,Loba,126.0,0.7381,0.2143,0.1984,0.2937
6,pop,Shakira,Loca (part. El Cata),141.0,0.383,0.1277,0.0709,0.1206
7,pop,Shakira,Acróstico,81.0,0.716,0.3704,0.1111,0.1975
8,pop,Shakira,"Suerte (Whenever, Wherever)",110.0,0.4273,0.1455,0.0636,0.1636
9,pop,Shakira,Antología,77.0,0.8571,0.3506,0.1039,0.3117
10,pop,Shakira,"Ciega, Sordomuda",138.0,0.5797,0.1739,0.1449,0.1739
11,pop,Shakira,La Tortura (part. Alejandro Sanz),141.0,0.5745,0.2057,0.078,0.2128
12,pop,Shakira,Día de Enero,80.0,0.75,0.275,0.1125,0.275
13,pop,Shakira,Inevitable,67.0,0.7313,0.3284,0.1493,0.1791
14,pop,Shakira,Te Dejo Madrid,102.0,0.4216,0.1765,0.0392,0.1765
15,pop,Shakira,Waka Waka (This Time For Africa),281.0,0.3096,0.0071,0.0071,0.032
16,pop,Shakira,Copa Vacía (part. Manuel Turizo),144.0,0.4792,0.1875,0.0417,0.2014
17,pop,Shakira,Donde Estás Corazón,118.0,0.3559,0.1186,0.0424,0.1441
18,pop,Shakira,Ojos Así,133.0,0.3684,0.0827,0.0677,0.1579
19,pop,Shakira,La La La (Brasil 2014) (Versión en Español) (part. Carlinhos Brown),119.0,0.5966,0.1261,0.1092,0.1597
20,pop,Shakira,Hay Amores,67.0,0.597,0.2537,0.0896,0.1791
21,pop,Shakira,Hips Don't Lie (feat. Wyclef Jean),492.0,0.3232,0.0102,0.0122,0.0407
22,pop,Shakira,Tú,58.0,0.6897,0.2069,0.069,0.2759
23,pop,Shakira,Las de La Intuición,87.0,0.3908,0.1494,0.069,0.1494
24,pop,Shakira,Si Te Vas,112.0,0.5625,0.1964,0.1161,0.1875
25,pop,Shakira,Estoy Aquí,113.0,0.4513,0.2035,0.0442,0.1416
26,pop,Shakira,Lo Hecho Está Hecho,138.0,0.4348,0.1377,0.0797,0.1449
27,pop,Shakira,Gordita (part. Calle 13),180.0,0.5333,0.1222,0.1889,0.1389
28,pop,Shakira,Sale El Sol,63.0,0.4762,0.2222,0.0635,0.1429
29,pop,Shakira,"Whenever, Wherever",278.0,0.4388,0.0072,0.0144,0.0216
30,pop,Shakira,No,78.0,0.6154,0.2692,0.0641,0.1923
31,pop,Shakira,La Quiero a Morir (Je L'aime À Mourir),131.0,0.6412,0.1145,0.0305,0.1527
32,pop,Shakira,Chantaje (part. Maluma),153.0,0.5359,0.2092,0.0588,0.1242
33,pop,Shakira,"Pies Descalzos, Sueños Blancos",143.0,0.6434,0.1818,0.1538,0.2657
34,pop,Shakira,She Wolf,261.0,0.4713,0.0,0.0153,0.0268
35,pop,Shakira,Que Me Quedes Tú,67.0,0.806,0.2836,0.1194,0.3731
36,pop,Shakira,Me Enamoré,132.0,0.447,0.2424,0.0379,0.1364
37,pop,Shakira,Deja Vu (part. Prince Royce),97.0,0.4433,0.1546,0.0928,0.134
38,pop,Shakira,Try Everything,268.0,0.3358,0.0075,0.0075,0.041
39,pop,Shakira,Clandestino (part. Maluma),150.0,0.5467,0.2333,0.0333,0.1467
40,pop,Shakira,Dónde Están Los Ladrones,59.0,0.6271,0.1525,0.1356,0.2712
41,pop,Shakira,La La La (Brazil 2014) (feat. Carlinhos Brown),225.0,0.4311,0.0222,0.0089,0.0578
42,pop,Shakira,Moscas En La Casa,62.0,0.8387,0.2419,0.2097,0.3548
43,pop,Shakira,Te Felicito (part. Rauw Alejandro),129.0,0.5969,0.2403,0.0775,0.1783
44,pop,Shakira,Perro Fiel (part. Nicky Jam),130.0,0.5923,0.2769,0.1,0.1308
45,pop,Shakira,SHAKIRA (BZRP Music Sessions #53),208.0,0.4519,0.1635,0.0385,0.1394
46,pop,Shakira,Underneath Your Clothes,246.0,0.4187,0.0041,0.0122,0.0163
47,pop,Shakira,En Tus Pupilas,107.0,0.5794,0.1495,0.0935,0.2243
